order_line_id,order_id,product_id,quantity,unit_price,line_ts
L20260310-0000001,O20260310-000001,P00051,1,88.95,2026-03-06T12:29:34
L20260310-0000002,O20260310-000001,P00084,1,90.61,2026-03-05T16:56:31
L20260310-0000003,O20260310-000002,P00013,2,90.80,2026-03-05T10:26:02
L20260310-0000004,O20260310-000002,P00073,1,35.38,2026-03-06T17:59:37
L20260310-0000005,O20260310-000002,P00075,2,144.44,2026-03-07T10:14:24
L20260310-0000006,O20260310-000002,P00073,1,35.38,2026-03-05T08:48:52
L20260310-0000007,O20260310-000003,P00093,2,184.63,2026-03-05T05:08:46
L20260310-0000008,O20260310-000003,P00070,2,82.95,2026-03-10T16:02:53
L20260310-0000009,O20260310-000003,P00109,1,202.31,2026-03-04T04:53:40
L20260310-0000010,O20260310-000003,P00030,1,214.54,2026-03-07T16:29:23
L20260310-0000011,O20260310-000004,P00080,3,72.41,2026-03-10T00:34:35
L20260310-0000012,O20260310-000005,P00002,1,112.31,2026-03-06T00:32:52
L20260310-0000013,O20260310-000005,P00090,2,34.54,2026-03-09T16:09:15
L20260310-0000014,O20260310-000005,P00025,3,138.71,2026-03-05T08:50:25
L20260310-0000015,O20260310-000005,P00011,1,51.47,2026-03-07T22:14:19
L20260310-0000016,O20260310-000006,P00084,1,90.61,2026-03-04T12:35:30
L20260310-0000017,O20260310-000007,P00082,1,141.76,2026-03-03T13:41:50
L20260310-0000018,O20260310-000008,P00073,1,35.38,2026-03-07T06:57:55
L20260310-0000019,O20260310-000008,P00089,3,221.76,2026-03-10T02:43:59
L20260310-0000020,O20260310-000008,P00036,3,314.75,2026-03-08T10:01:13
L20260310-0000021,O20260310-000009,P00097,2,166.80,2026-03-08T18:15:36
L20260310-0000022,O20260310-000009,P00107,2,155.56,2026-03-04T23:08:50
L20260310-0000023,O20260310-000010,P00065,1,137.52,2026-03-04T07:53:04
L20260310-0000024,O20260310-000011,P00078,3,203.66,2026-03-05T00:40:17
L20260310-0000025,O20260310-000011,P00101,2,276.64,2026-03-05T17:24:27
L20260310-0000026,O20260310-000011,P00024,3,218.72,2026-03-06T07:45:04
L20260310-0000027,O20260310-000012,P00035,1,122.53,2026-03-04T10:23:06
L20260310-0000028,O20260310-000013,P00001,1,124.15,2026-03-06T03:08:05
L20260310-0000029,O20260310-000014,P00056,2,179.45,2026-03-04T03:01:05
L20260310-0000030,O20260310-000014,P00046,3,153.99,2026-03-05T12:00:18
L20260310-0000031,O20260310-000015,P00050,1,15.11,2026-03-08T21:24:10
L20260310-0000032,O20260310-000015,P00018,1,7.46,2026-03-03T04:04:10
L20260310-0000033,O20260310-000015,P00056,1,179.45,2026-03-03T02:23:16
L20260310-0000034,O20260310-000015,P00032,2,78.43,2026-03-07T14:06:08
L20260310-0000035,O20260310-000016,P00001,2,124.15,2026-03-04T10:28:21
L20260310-0000036,O20260310-000016,P00056,3,179.45,2026-03-05T19:44:12
L20260310-0000037,O20260310-000016,P00062,1,71.15,2026-03-05T09:47:44
L20260310-0000038,O20260310-000017,P00074,1,101.93,2026-03-06T12:23:07
L20260310-0000039,O20260310-000017,P00120,3,94.97,2026-03-08T21:49:35
L20260310-0000040,O20260310-000017,P00004,2,182.76,2026-03-06T22:04:52
L20260310-0000041,O20260310-000017,P00109,2,202.31,2026-03-06T07:16:42
L20260310-0000042,O20260310-000018,P00092,2,168.91,2026-03-03T19:30:37
L20260310-0000043,O20260310-000018,P00052,3,257.89,2026-03-10T11:44:57
L20260310-0000044,O20260310-000019,P00014,1,22.31,2026-03-10T18:41:43
L20260310-0000045,O20260310-000020,P00097,1,166.80,2026-03-10T03:16:14
L20260310-0000046,O20260310-000020,P00066,3,10.75,2026-03-07T14:23:25
L20260310-0000047,O20260310-000020,P00060,3,274.02,2026-03-05T00:30:06
L20260310-0000048,O20260310-000020,P00038,2,122.02,2026-03-08T11:19:21
L20260310-0000049,O20260310-000021,P00101,1,276.64,2026-03-05T15:06:28
L20260310-0000050,O20260310-000021,P00093,2,184.63,2026-03-06T01:51:45
L20260310-0000051,O20260310-000021,P00015,1,114.30,2026-03-08T23:15:33
L20260310-0000052,O20260310-000021,P00023,3,170.56,2026-03-04T14:14:51
L20260310-0000053,O20260310-000022,P00081,1,102.43,2026-03-04T00:47:39
L20260310-0000054,O20260310-000022,P00114,1,246.88,2026-03-04T12:00:45
L20260310-0000055,O20260310-000022,P00028,1,263.53,2026-03-09T17:11:23
L20260310-0000056,O20260310-000022,P00042,1,93.45,2026-03-06T21:55:31
L20260310-0000057,O20260310-000023,P00077,2,157.08,2026-03-09T11:22:54
L20260310-0000058,O20260310-000023,P00059,3,6.15,2026-03-09T21:08:20
L20260310-0000059,O20260310-000023,P00016,1,230.65,2026-03-08T11:44:09
L20260310-0000060,O20260310-000024,P00054,3,190.10,2026-03-04T13:11:31
L20260310-0000061,O20260310-000024,P00082,3,141.76,2026-03-08T15:18:08
L20260310-0000062,O20260310-000024,P00024,1,218.72,2026-03-10T11:00:31
L20260310-0000063,O20260310-000024,P00018,1,7.46,2026-03-03T13:43:31
L20260310-0000064,O20260310-000025,P00091,2,176.65,2026-03-09T18:01:50
L20260310-0000065,O20260310-000025,P00098,1,27.94,2026-03-06T07:34:18
L20260310-0000066,O20260310-000025,P00022,2,70.70,2026-03-09T18:07:17
L20260310-0000067,O20260310-000025,P00100,3,132.98,2026-03-10T23:28:34
L20260310-0000068,O20260310-000026,P00055,1,102.20,2026-03-10T14:16:22
L20260310-0000069,O20260310-000026,P00111,1,155.49,2026-03-07T06:51:47
L20260310-0000070,O20260310-000027,P00111,3,155.49,2026-03-08T06:52:13
