product_id,sku,product_name,product_type,cost_price,list_price
P00032,SKU-00032,Product 32,noos,59.05,78.43
P00068,SKU-00068,Product 68,beauty,81.42,207.20
P00053,SKU-00053,Product 53,beauty,39.53,91.53
P00073,SKU-00073,Product 73,fashion,18.20,35.38
P00088,SKU-00088,Product 88,noos,85.98,237.21
P00102,SKU-00102,Product 102,home,55.02,104.40
P00024,SKU-00024,Product 24,beauty,87.77,218.72
P00022,SKU-00022,Product 22,noos,30.31,70.70
P00023,SKU-00023,Product 23,fashion,103.65,170.56
P00011,SKU-00011,Product 11,home,28.08,51.47
P00079,SKU-00079,Product 79,beauty,59.83,97.49
P00049,SKU-00049,Product 49,home,50.06,130.32
P00080,SKU-00080,Product 80,beauty,31.91,72.41
P00116,SKU-00116,Product 116,beauty,64.77,120.21
P00031,SKU-00031,Product 31,fashion,28.86,37.45
P00064,SKU-00064,Product 64,noos,48.12,62.69
P00075,SKU-00075,Product 75,beauty,109.29,144.44
P00019,SKU-00019,Product 19,noos,98.57,267.61
P00030,SKU-00030,Product 30,home,94.97,214.54
P00060,SKU-00060,Product 60,fashion,110.39,274.02
P00082,SKU-00082,Product 82,fashion,106.03,141.76
P00033,SKU-00033,Product 33,noos,82.16,222.37
P00059,SKU-00059,Product 59,fashion,4.15,6.15
P00099,SKU-00099,Product 99,beauty,38.93,80.35
P00086,SKU-00086,Product 86,noos,17.56,41.51
P00002,SKU-00002,Product 2,fashion,89.79,112.31
P00101,SKU-00101,Product 101,home,114.27,276.64
P00037,SKU-00037,Product 37,noos,62.44,162.77
P00087,SKU-00087,Product 87,home,64.62,108.17
P00070,SKU-00070,Product 70,noos,47.67,82.95
P00021,SKU-00021,Product 21,beauty,54.54,85.06
P00010,SKU-00010,Product 10,home,68.38,171.97
P00057,SKU-00057,Product 57,noos,39.66,50.52
P00045,SKU-00045,Product 45,noos,119.91,290.65
P00076,SKU-00076,Product 76,fashion,38.63,67.82
P00039,SKU-00039,Product 39,fashion,34.31,49.71
P00100,SKU-00100,Product 100,home,107.12,132.98
P00055,SKU-00055,Product 55,home,57.05,102.20
P00097,SKU-00097,Product 97,noos,80.53,166.80
P00098,SKU-00098,Product 98,home,10.45,27.94
P00085,SKU-00085,Product 85,beauty,42.04,67.36
P00026,SKU-00026,Product 26,beauty,14.97,37.14
P00050,SKU-00050,Product 50,beauty,7.96,15.11
P00062,SKU-00062,Product 62,home,32.30,71.15
P00014,SKU-00014,Product 14,beauty,10.90,22.31
P00106,SKU-00106,Product 106,beauty,63.90,154.38
P00109,SKU-00109,Product 109,beauty,100.44,202.31
P00046,SKU-00046,Product 46,beauty,94.65,153.99
P00038,SKU-00038,Product 38,home,100.63,122.02
P00072,SKU-00072,Product 72,fashion,94.51,143.56
P00003,SKU-00003,Product 3,noos,73.64,137.80
P00051,SKU-00051,Product 51,beauty,33.18,88.95
P00036,SKU-00036,Product 36,fashion,112.51,314.75
P00095,SKU-00095,Product 95,noos,67.81,130.25
P00007,SKU-00007,Product 7,noos,11.60,29.79
P00105,SKU-00105,Product 105,beauty,116.53,262.46
P00093,SKU-00093,Product 93,home,109.34,184.63
P00078,SKU-00078,Product 78,beauty,107.37,203.66
P00052,SKU-00052,Product 52,home,114.04,257.89
P00015,SKU-00015,Product 15,home,82.92,114.30
P00108,SKU-00108,Product 108,beauty,65.92,188.64
P00077,SKU-00077,Product 77,home,62.44,157.08
P00112,SKU-00112,Product 112,beauty,101.07,208.38
P00061,SKU-00061,Product 61,beauty,87.30,230.08
P00041,SKU-00041,Product 41,fashion,100.12,243.67
P00013,SKU-00013,Product 13,fashion,62.86,90.80
P00040,SKU-00040,Product 40,home,43.45,69.60
P00017,SKU-00017,Product 17,noos,77.94,188.62
P00044,SKU-00044,Product 44,fashion,82.96,216.91
P00074,SKU-00074,Product 74,fashion,74.24,101.93
P00047,SKU-00047,Product 47,noos,58.34,98.50
P00043,SKU-00043,Product 43,noos,46.51,58.92
P00081,SKU-00081,Product 81,beauty,41.36,102.43
P00009,SKU-00009,Product 9,noos,11.82,17.27
P00056,SKU-00056,Product 56,noos,108.49,179.45
P00066,SKU-00066,Product 66,home,4.19,10.75
P00117,SKU-00117,Product 117,home,116.41,260.73
P00042,SKU-00042,Product 42,beauty,71.66,93.45
P00091,SKU-00091,Product 91,fashion,70.72,176.65
P00020,SKU-00020,Product 20,noos,74.17,173.61
P00029,SKU-00029,Product 29,noos,60.08,87.92
P00069,SKU-00069,Product 69,fashion,114.95,154.69
P00071,SKU-00071,Product 71,beauty,100.77,129.32
P00114,SKU-00114,Product 114,beauty,103.23,246.88
P00063,SKU-00063,Product 63,home,36.79,96.72
P00006,SKU-00006,Product 6,beauty,18.04,30.11
P00103,SKU-00103,Product 103,home,51.07,131.37
P00090,SKU-00090,Product 90,fashion,24.98,34.54
P00027,SKU-00027,Product 27,noos,70.71,108.58
P00080,SKU-00080,Product 80,beauty,31.91,72.41
P00049,SKU-00049,Product 49,home,50.06,130.32
P00059,SKU-00059,Product 59,fashion,4.15,6.15
P00064,SKU-00064,Product 64,noos,48.12,62.69
,???,BROKEN_PRODUCT,unknown,not_a_number,-19.99
this,is,a,malformed,row,with,too,many,columns,boom
