product_id,sku,product_name,product_type,cost_price,brand,list_price,is_active,currency
P00040,SKU-00040,Product 40,home,43.45,AdventureWorks,69.60,true,USD
P00117,SKU-00117,Product 117,home,116.41,AdventureWorks,260.73,true,GBP
P00078,SKU-00078,Product 78,beauty,107.37,Contoso,203.66,true,GBP
P00043,SKU-00043,Product 43,noos,46.51,Contoso,58.92,true,USD
P00058,SKU-00058,Product 58,noos,51.78,AdventureWorks,103.09,true,USD
P00070,SKU-00070,Product 70,noos,46.60,Fabrikam,82.95,false,EUR
P00017,SKU-00017,Product 17,noos,77.94,Fabrikam,188.62,true,GBP
P00027,SKU-00027,Product 27,noos,65.98,Contoso,108.58,true,USD
P00084,SKU-00084,Product 84,noos,50.61,Tailspin,90.61,true,EUR
P00018,SKU-00018,Product 18,home,5.77,Contoso,7.46,true,USD
P00075,SKU-00075,Product 75,beauty,109.29,Contoso,144.44,true,USD
P00115,SKU-00115,Product 115,noos,99.12,Northwind,138.97,true,USD
P00088,SKU-00088,Product 88,noos,85.98,Northwind,237.21,true,GBP
P00103,SKU-00103,Product 103,home,51.07,Northwind,131.37,true,EUR
P00026,SKU-00026,Product 26,beauty,14.97,Fabrikam,37.14,true,USD
P00111,SKU-00111,Product 111,beauty,95.54,Tailspin,155.49,true,EUR
P00120,SKU-00120,Product 120,fashion,38.39,Fabrikam,94.97,true,EUR
P00089,SKU-00089,Product 89,beauty,104.68,Northwind,221.76,false,EUR
P00091,SKU-00091,Product 91,fashion,70.72,Contoso,176.65,true,USD
P00068,SKU-00068,Product 68,beauty,81.42,Contoso,207.20,true,GBP
P00105,SKU-00105,Product 105,beauty,116.53,Northwind,262.46,false,EUR
P00056,SKU-00056,Product 56,noos,108.49,Northwind,179.45,true,USD
P00019,SKU-00019,Product 19,noos,98.57,AdventureWorks,267.61,true,EUR
P00112,SKU-00112,Product 112,beauty,101.07,AdventureWorks,208.38,true,EUR
P00073,SKU-00073,Product 73,fashion,18.20,Contoso,35.38,true,EUR
P00021,SKU-00021,Product 21,beauty,54.54,Contoso,85.06,true,USD
P00041,SKU-00041,Product 41,fashion,100.12,Fabrikam,243.67,true,USD
P00009,SKU-00009,Product 9,noos,11.82,Contoso,17.27,false,EUR
P00072,SKU-00072,Product 72,fashion,93.63,Contoso,143.56,true,GBP
P00069,SKU-00069,Product 69,fashion,109.16,AdventureWorks,154.69,false,USD
P00016,SKU-00016,Product 16,home,114.62,Contoso,230.65,true,GBP
P00024,SKU-00024,Product 24,beauty,87.77,AdventureWorks,218.72,true,USD
P00094,SKU-00094,Product 94,noos,113.89,Contoso,184.89,true,USD
P00098,SKU-00098,Product 98,home,10.45,Tailspin,27.94,false,USD
P00004,SKU-00004,Product 4,noos,104.77,AdventureWorks,182.76,true,USD
P00108,SKU-00108,Product 108,beauty,67.67,Contoso,188.64,true,EUR
P00053,SKU-00053,Product 53,beauty,39.53,AdventureWorks,91.53,true,USD
P00097,SKU-00097,Product 97,noos,80.53,Northwind,166.80,true,EUR
P00039,SKU-00039,Product 39,fashion,34.31,Tailspin,49.71,true,GBP
P00057,SKU-00057,Product 57,noos,39.66,Northwind,50.52,false,GBP
P00036,SKU-00036,Product 36,fashion,112.51,Tailspin,314.75,true,USD
P00020,SKU-00020,Product 20,noos,74.17,Contoso,173.61,false,GBP
P00025,SKU-00025,Product 25,beauty,53.72,AdventureWorks,138.71,true,GBP
P00014,SKU-00014,Product 14,beauty,10.90,AdventureWorks,22.31,true,GBP
P00114,SKU-00114,Product 114,beauty,103.23,Fabrikam,246.88,false,EUR
P00107,SKU-00107,Product 107,beauty,111.57,AdventureWorks,155.56,true,GBP
P00086,SKU-00086,Product 86,noos,17.43,Contoso,41.51,true,GBP
P00035,SKU-00035,Product 35,noos,86.94,AdventureWorks,122.53,true,EUR
P00030,SKU-00030,Product 30,home,88.72,Tailspin,214.54,false,USD
