refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_status
R20260311-0000042,L20260311-0000354,O20260311-000136,2026-03-07T19:19:11,62.71,pending
R20260311-0000043,L20260311-0000363,O20260311-000138,2026-03-01T14:34:11,122.01,pending
R20260311-0000044,L20260311-0000364,O20260311-000139,2026-03-06T16:59:43,120.85,pending
R20260311-0000045,L20260311-0000370,O20260311-000141,2026-03-10T04:39:58,9.66,approved
R20260311-0000046,L20260311-0000376,O20260311-000143,2026-03-09T12:42:00,181.23,rejected
R20260311-0000047,L20260311-0000378,O20260311-000143,2026-03-01T03:21:38,20.57,pending
R20260311-0000048,L20260311-0000400,O20260311-000150,2026-03-10T16:06:15,21.93,approved
R20260311-0000049,L20260311-0000404,O20260311-000153,2026-03-05T15:11:52,26.31,rejected
R20260311-0000050,L20260311-0000411,O20260311-000157,2026-03-01T07:10:32,12.73,approved
R20260311-0000051,L20260311-0000423,O20260311-000161,2026-03-02T12:00:37,84.93,approved
R20260311-0000052,L20260311-0000427,O20260311-000162,2026-03-09T14:56:46,27.11,pending
R20260311-0000053,L20260311-0000428,O20260311-000163,2026-03-03T16:13:22,46.86,pending
R20260311-0000054,L20260311-0000440,O20260311-000167,2026-03-04T12:30:38,14.66,rejected
R20260311-0000055,L20260311-0000450,O20260311-000170,2026-03-09T07:06:42,7.09,pending
R20260311-0000056,L20260311-0000463,O20260311-000174,2026-03-10T01:54:47,284.35,pending
R20260311-0000057,L20260311-0000491,O20260311-000186,2026-03-01T16:31:12,68.55,rejected
R20260311-0000058,L20260311-0000506,O20260311-000191,2026-03-11T07:52:18,74.95,pending
R20260311-0000059,L20260311-0000508,O20260311-000192,2026-03-07T02:34:36,58.83,rejected
R20260311-0000060,L20260311-0000512,O20260311-000193,2026-03-10T18:30:59,67.77,rejected
R20260311-0000061,L20260311-0000513,O20260311-000194,2026-03-07T06:21:56,64.24,approved
R20260311-0000062,L20260311-0000519,O20260311-000196,2026-03-02T19:44:53,214.62,pending
R20260311-0000063,L20260311-0000524,O20260311-000198,2026-03-09T08:46:02,27.30,approved
R20260311-0000064,L20260311-0000533,O20260311-000201,2026-03-08T17:38:55,102.11,rejected
R20260311-0000065,L20260311-0000535,O20260311-000201,2026-03-05T12:44:08,62.87,rejected
R20260311-0000066,L20260311-0000544,O20260311-000204,2026-03-02T00:14:26,24.99,rejected
R20260311-0000067,L20260311-0000545,O20260311-000204,2026-03-08T01:04:03,289.34,pending
R20260311-0000068,L20260311-0000547,O20260311-000206,2026-03-01T07:18:08,12.73,pending
R20260311-0000069,L20260311-0000550,O20260311-000209,2026-03-03T06:31:45,23.00,approved
R20260311-0000070,L20260311-0000565,O20260311-000214,2026-03-03T07:19:47,791.57,approved
R20260311-0000071,L20260311-0000569,O20260311-000215,2026-03-04T20:48:29,7.33,approved
R20260311-0000072,L20260311-0000571,O20260311-000217,2026-03-05T09:52:05,31.95,pending
R20260311-0000073,L20260311-0000574,O20260311-000219,2026-03-04T01:14:13,42.65,approved
R20260311-0000074,L20260311-0000578,O20260311-000222,2026-03-11T19:48:57,108.40,pending
R20260311-0000075,L20260311-0000588,O20260311-000224,2026-03-05T23:59:43,4.19,rejected
R20260311-0000076,L20260311-0000598,O20260311-000228,2026-03-07T02:15:49,254.82,pending
R20260311-0000077,L20260311-0000619,O20260311-000235,2026-03-07T19:35:20,122.34,pending
R20260311-0000078,L20260311-0000628,O20260311-000239,2026-03-11T05:43:32,4.84,rejected
R20260311-0000079,L20260311-0000635,O20260311-000242,2026-03-06T17:45:02,153.27,approved
R20260311-0000080,L20260311-0000637,O20260311-000243,2026-03-03T02:15:13,184.03,rejected
R20260311-0000081,L20260311-0000653,O20260311-000250,2026-03-02T00:06:38,143.98,pending
R20260311-0000082,L20260311-0000661,O20260311-000253,2026-03-05T20:05:04,36.96,rejected
R20260311-0000083,L20260311-0000669,O20260311-000258,2026-03-03T16:28:20,54.51,approved
R20260311-0000084,L20260311-0000701,O20260311-000273,2026-03-09T18:31:40,15.12,approved
R20260311-0000085,L20260311-0000703,O20260311-000273,2026-03-07T17:45:59,64.28,rejected
R20260311-0000086,L20260311-0000707,O20260311-000275,2026-03-10T04:32:55,12.64,pending
R20260311-0000087,L20260311-0000719,O20260311-000280,2026-03-06T14:58:26,190.78,rejected
R20260311-0000088,L20260311-0000728,O20260311-000284,2026-03-02T18:23:43,138.02,pending
R20260311-0000089,L20260311-0000736,O20260311-000287,2026-03-03T18:32:54,16.13,pending
R20260311-0000090,L20260311-0000748,O20260311-000292,2026-03-10T09:17:31,58.93,approved
R20260311-0000091,L20260311-0000760,O20260311-000296,2026-03-03T17:51:12,156.79,pending
R20260311-0000092,L20260311-0000762,O20260311-000297,2026-03-02T13:46:28,35.11,approved
R20260311-0000093,L20260311-0000776,O20260311-000303,2026-03-10T10:10:32,516.44,pending
R20260311-0000094,L20260311-0000780,O20260311-000305,2026-03-11T13:06:59,433.37,pending
R20260311-0000095,L20260311-0000798,O20260311-000312,2026-03-08T00:27:04,64.58,rejected
R20260311-0000096,L20260311-0000801,O20260311-000312,2026-03-02T12:40:37,123.77,rejected
R20260311-0000097,L20260311-0000833,O20260311-000327,2026-03-08T13:03:35,28.04,pending
R20260311-0000098,L20260311-0000839,O20260311-000329,2026-03-08T10:40:52,34.84,pending
R20260311-0000099,L20260311-0000851,O20260311-000333,2026-03-06T11:49:49,19.08,approved
R20260311-0000100,L20260311-0000866,O20260311-000136,2026-03-03T03:32:25,3.42,approved
R20260311-0000101,L20260311-0000378,O20260311-000143,2026-03-05T00:00:47,27.45,rejected
R20260311-0000102,L20260311-0000577,O20260311-000221,2026-03-05T06:53:38,22.26,pending
R20260311-0000103,L20260311-0000499,O20260311-000189,2026-03-02T15:24:18,152.28,approved
R20260311-0000087,L20260311-0000719,O20260311-000280,2026-03-06T14:58:26,190.78,rejected
R20260311-0000100,L20260311-0000866,O20260311-000136,2026-03-03T03:32:25,3.42,approved
R20260311-0000089,L20260311-0000736,O20260311-000287,2026-03-03T18:32:54,16.13,pending
R-BAD-001,L-NOPE,O-NOPE,32/13/2026,-12.34,unknown_state
