order_line_id,order_id,product_id,quantity,unit_price,sku,line_discount_amount,line_ts
L20260312-0000878,O20260312-000335,P00089,1,221.76,SKU-00089,3.00,2026-03-07T16:54:50
L20260312-0000879,O20260312-000336,P00053,1,91.53,SKU-00053,0.00,2026-03-08T17:12:31
L20260312-0000880,O20260312-000336,P00037,1,162.77,SKU-00037,0.00,2026-03-11T21:58:20
L20260312-0000881,O20260312-000336,P00111,3,155.49,SKU-00111,0.00,2026-03-10T03:15:04
L20260312-0000882,O20260312-000336,P00023,1,170.56,SKU-00023,0.00,2026-03-09T02:55:04
L20260312-0000883,O20260312-000337,P00093,1,184.63,SKU-00093,1.50,2026-03-11T04:37:40
L20260312-0000884,O20260312-000338,P00081,1,102.43,SKU-00081,0.00,2026-03-11T01:45:08
L20260312-0000885,O20260312-000338,P00026,1,37.14,SKU-00026,0.00,2026-03-11T00:27:50
L20260312-0000886,O20260312-000338,P00088,1,237.21,SKU-00088,0.00,2026-03-11T12:20:40
L20260312-0000887,O20260312-000338,P00068,1,207.20,SKU-00068,3.00,2026-03-05T19:45:11
L20260312-0000888,O20260312-000339,P00037,3,162.77,SKU-00037,0.00,2026-03-10T16:00:05
L20260312-0000889,O20260312-000339,P00023,1,170.56,SKU-00023,1.50,2026-03-09T22:07:44
L20260312-0000890,O20260312-000339,P00098,1,27.94,SKU-00098,0.00,2026-03-07T07:10:25
L20260312-0000891,O20260312-000339,P00082,3,141.76,SKU-00082,1.50,2026-03-06T16:40:18
L20260312-0000892,O20260312-000340,P00055,1,102.20,SKU-00055,1.50,2026-03-12T20:56:43
L20260312-0000893,O20260312-000340,P00033,1,222.37,SKU-00033,0.00,2026-03-12T02:31:22
L20260312-0000894,O20260312-000341,P00080,2,72.41,SKU-00080,0.00,2026-03-12T23:43:05
L20260312-0000895,O20260312-000342,P00076,1,67.82,SKU-00076,5.00,2026-03-08T23:53:20
L20260312-0000896,O20260312-000342,P00058,1,103.09,SKU-00058,3.00,2026-03-05T09:48:31
L20260312-0000897,O20260312-000342,P00041,3,243.67,SKU-00041,0.00,2026-03-10T01:44:22
L20260312-0000898,O20260312-000343,P00060,2,274.02,SKU-00060,1.50,2026-03-05T14:28:09
L20260312-0000899,O20260312-000343,P00019,2,267.61,SKU-00019,3.00,2026-03-10T10:24:55
L20260312-0000900,O20260312-000343,P00081,1,102.43,SKU-00081,3.00,2026-03-12T13:50:52
L20260312-0000901,O20260312-000343,P00085,1,67.36,SKU-00085,0.00,2026-03-10T06:06:01
L20260312-0000902,O20260312-000344,P00061,1,230.08,SKU-00061,1.50,2026-03-09T00:31:25
L20260312-0000903,O20260312-000344,P00021,1,85.06,SKU-00021,5.00,2026-03-09T06:31:38
L20260312-0000904,O20260312-000344,P00093,2,184.63,SKU-00093,3.00,2026-03-10T15:42:03
L20260312-0000905,O20260312-000344,P00046,1,153.99,SKU-00046,0.00,2026-03-05T19:18:09
L20260312-0000906,O20260312-000345,P00067,2,109.86,SKU-00067,0.00,2026-03-05T00:19:40
L20260312-0000907,O20260312-000345,P00021,1,85.06,SKU-00021,1.50,2026-03-06T19:07:38
L20260312-0000908,O20260312-000346,P00068,1,207.20,SKU-00068,1.50,2026-03-10T11:36:30
L20260312-0000909,O20260312-000346,P00009,1,17.27,SKU-00009,3.00,2026-03-06T07:13:20
L20260312-0000910,O20260312-000347,P00117,1,260.73,SKU-00117,3.00,2026-03-07T18:50:21
L20260312-0000911,O20260312-000347,P00090,1,34.54,SKU-00090,0.00,2026-03-09T22:37:39
L20260312-0000912,O20260312-000348,P00105,1,262.46,SKU-00105,3.00,2026-03-05T00:20:32
L20260312-0000913,O20260312-000348,P00113,1,185.01,SKU-00113,3.00,2026-03-07T02:33:31
L20260312-0000914,O20260312-000349,P00078,1,203.66,SKU-00078,0.00,2026-03-06T06:50:49
L20260312-0000915,O20260312-000349,P00036,1,314.75,SKU-00036,1.50,2026-03-05T07:14:40
L20260312-0000916,O20260312-000349,P00001,1,124.15,SKU-00001,1.50,2026-03-05T17:09:50
L20260312-0000917,O20260312-000349,P00035,1,122.53,SKU-00035,3.00,2026-03-09T20:12:59
L20260312-0000918,O20260312-000350,P00038,1,122.02,SKU-00038,0.00,2026-03-08T07:50:24
L20260312-0000919,O20260312-000351,P00090,1,34.54,SKU-00090,1.50,2026-03-09T04:18:01
L20260312-0000920,O20260312-000351,P00004,2,182.76,SKU-00004,0.00,2026-03-05T04:28:40
L20260312-0000921,O20260312-000351,P00049,3,130.32,SKU-00049,0.00,2026-03-05T10:06:59
L20260312-0000922,O20260312-000351,P00036,2,314.75,SKU-00036,1.50,2026-03-05T09:10:37
L20260312-0000923,O20260312-000352,P00042,1,93.45,SKU-00042,0.00,2026-03-07T17:30:23
L20260312-0000924,O20260312-000352,P00019,1,267.61,SKU-00019,3.00,2026-03-12T20:27:41
L20260312-0000925,O20260312-000353,P00051,1,88.95,SKU-00051,1.50,2026-03-12T20:18:20
L20260312-0000926,O20260312-000353,P00073,3,35.38,SKU-00073,0.00,2026-03-12T23:45:45
L20260312-0000927,O20260312-000353,P00017,2,188.62,SKU-00017,0.00,2026-03-10T04:06:33
L20260312-0000928,O20260312-000354,P00092,1,168.91,SKU-00092,0.00,2026-03-07T10:05:26
L20260312-0000929,O20260312-000354,P00044,1,216.91,SKU-00044,3.00,2026-03-12T16:26:41
L20260312-0000930,O20260312-000355,P00089,1,221.76,SKU-00089,5.00,2026-03-09T14:10:07
L20260312-0000931,O20260312-000355,P00098,1,27.94,SKU-00098,0.00,2026-03-12T20:43:35
L20260312-0000932,O20260312-000355,P00004,1,182.76,SKU-00004,0.00,2026-03-12T01:14:48
L20260312-0000933,O20260312-000355,P00030,1,214.54,SKU-00030,0.00,2026-03-07T10:24:48
L20260312-0000934,O20260312-000356,P00003,3,137.80,SKU-00003,1.50,2026-03-12T21:45:44
L20260312-0000935,O20260312-000356,P00054,3,190.10,SKU-00054,0.00,2026-03-09T18:02:13
L20260312-0000936,O20260312-000356,P00030,3,214.54,SKU-00030,3.00,2026-03-07T22:05:37
L20260312-0000937,O20260312-000356,P00113,1,185.01,SKU-00113,5.00,2026-03-06T06:09:34
L20260312-0000938,O20260312-000357,P00118,3,250.87,SKU-00118,1.50,2026-03-07T16:24:10
L20260312-0000939,O20260312-000358,P00097,3,166.80,SKU-00097,1.50,2026-03-09T10:57:16
L20260312-0000940,O20260312-000358,P00051,1,88.95,SKU-00051,1.50,2026-03-12T14:38:41
L20260312-0000941,O20260312-000359,P00027,1,108.58,SKU-00027,0.00,2026-03-06T03:47:59
L20260312-0000942,O20260312-000359,P00112,1,208.38,SKU-00112,0.00,2026-03-08T22:43:13
L20260312-0000943,O20260312-000359,P00114,3,246.88,SKU-00114,1.50,2026-03-05T01:41:40
L20260312-0000944,O20260312-000359,P00030,3,214.54,SKU-00030,1.50,2026-03-12T09:00:13
L20260312-0000945,O20260312-000360,P00111,1,155.49,SKU-00111,0.00,2026-03-06T23:20:29
L20260312-0000946,O20260312-000360,P00051,3,88.95,SKU-00051,0.00,2026-03-05T17:38:18
L20260312-0000947,O20260312-000361,P00010,3,171.97,SKU-00010,0.00,2026-03-12T19:03:54
L20260312-0000948,O20260312-000361,P00002,1,112.31,SKU-00002,0.00,2026-03-05T12:46:36
L20260312-0000949,O20260312-000362,P00013,1,90.80,SKU-00013,1.50,2026-03-09T13:47:56
L20260312-0000950,O20260312-000362,P00048,1,71.42,SKU-00048,1.50,2026-03-12T09:49:02
L20260312-0000951,O20260312-000363,P00039,1,49.71,SKU-00039,1.50,2026-03-09T03:58:40
L20260312-0000952,O20260312-000364,P00113,2,185.01,SKU-00113,0.00,2026-03-11T02:46:15
L20260312-0000953,O20260312-000365,P00112,3,208.38,SKU-00112,5.00,2026-03-08T00:44:36
L20260312-0000954,O20260312-000365,P00062,1,71.15,SKU-00062,0.00,2026-03-11T12:43:24
L20260312-0000955,O20260312-000365,P00004,1,182.76,SKU-00004,3.00,2026-03-05T13:11:00
L20260312-0000956,O20260312-000365,P00074,1,101.93,SKU-00074,0.00,2026-03-08T23:30:12
L20260312-0000957,O20260312-000366,P00004,1,182.76,SKU-00004,0.00,2026-03-05T00:41:02
L20260312-0000958,O20260312-000366,P00112,3,208.38,SKU-00112,3.00,2026-03-05T07:45:54
L20260312-0000959,O20260312-000366,P00096,1,48.69,SKU-00096,1.50,2026-03-11T19:23:29
L20260312-0000960,O20260312-000367,P00070,1,82.95,SKU-00070,1.50,2026-03-10T10:47:40
L20260312-0000961,O20260312-000367,P00045,2,290.65,SKU-00045,0.00,2026-03-06T11:29:22
L20260312-0000962,O20260312-000367,P00099,1,80.35,SKU-00099,0.00,2026-03-06T11:27:05
L20260312-0000963,O20260312-000367,P00078,1,203.66,SKU-00078,0.00,2026-03-07T20:29:28
L20260312-0000964,O20260312-000368,P00114,1,246.88,SKU-00114,1.50,2026-03-10T19:21:34
L20260312-0000965,O20260312-000368,P00081,1,102.43,SKU-00081,5.00,2026-03-09T22:25:05
L20260312-0000966,O20260312-000369,P00113,1,185.01,SKU-00113,5.00,2026-03-12T16:06:36
L20260312-0000967,O20260312-000369,P00001,1,124.15,SKU-00001,5.00,2026-03-09T21:45:50
L20260312-0000968,O20260312-000369,P00043,2,58.92,SKU-00043,0.00,2026-03-07T17:59:25
L20260312-0000969,O20260312-000369,P00067,2,109.86,SKU-00067,0.00,2026-03-07T23:26:44
L20260312-0000970,O20260312-000370,P00029,2,87.92,SKU-00029,0.00,2026-03-12T16:51:06
L20260312-0000971,O20260312-000371,P00019,1,267.61,SKU-00019,1.50,2026-03-06T09:52:13
L20260312-0000972,O20260312-000371,P00070,1,82.95,SKU-00070,0.00,2026-03-12T00:18:07
L20260312-0000973,O20260312-000371,P00027,1,108.58,SKU-00027,0.00,2026-03-08T14:07:27
L20260312-0000974,O20260312-000371,P00046,2,153.99,SKU-00046,0.00,2026-03-08T10:24:23
L20260312-0000975,O20260312-000372,P00039,2,49.71,SKU-00039,5.00,2026-03-05T20:39:37
L20260312-0000976,O20260312-000372,P00006,2,30.11,SKU-00006,0.00,2026-03-07T11:01:16
L20260312-0000977,O20260312-000373,P00111,2,155.49,SKU-00111,5.00,2026-03-06T22:37:39
L20260312-0000978,O20260312-000373,P00113,1,185.01,SKU-00113,3.00,2026-03-06T01:31:48
L20260312-0000979,O20260312-000373,P00116,1,120.21,SKU-00116,3.00,2026-03-11T02:15:46
L20260312-0000980,O20260312-000373,P00107,1,155.56,SKU-00107,3.00,2026-03-07T07:38:30
