order_id,customer_id,order_ts,country,currency,payment_method,order_status
O20260312-000335,C034780,2026-03-12T19:53:13,SE,SEK,paypal,delivered
O20260312-000336,C028944,2026-03-09T22:50:16,FR,EUR,card,paid
O20260312-000337,C023966,2026-03-09T21:22:46,US,USD,gift_card,cancelled
O20260312-000338,C025065,2026-03-10T05:59:47,DE,EUR,card,shipped
O20260312-000339,C012773,2026-03-12T18:19:21,FR,EUR,card,cancelled
O20260312-000340,C039766,2026-03-10T01:41:17,US,USD,gift_card,shipped
O20260312-000341,C003751,2026-03-08T00:55:45,SE,SEK,gift_card,paid
O20260312-000342,C035756,2026-03-12T01:23:01,NL,EUR,paypal,placed
O20260312-000343,C007827,2026-03-12T14:40:45,NL,EUR,card,cancelled
O20260312-000344,C012726,2026-03-07T19:47:01,SE,SEK,klarna,cancelled
O20260312-000345,C024003,2026-03-08T00:42:25,GB,GBP,gift_card,paid
O20260312-000346,C009668,2026-03-07T08:05:11,FR,EUR,gift_card,cancelled
O20260312-000347,C033127,2026-03-09T05:40:47,DE,EUR,card,cancelled
O20260312-000348,C007715,2026-03-10T14:36:53,SE,SEK,card,placed
O20260312-000349,C011961,2026-03-07T02:11:20,US,USD,card,paid
O20260312-000350,C024546,2026-03-09T02:56:46,GB,GBP,paypal,paid
O20260312-000351,C003496,2026-03-09T22:18:11,SE,SEK,klarna,shipped
O20260312-000352,C014809,2026-03-11T08:56:12,NL,EUR,paypal,delivered
O20260312-000353,C006057,2026-03-09T11:37:23,SE,SEK,klarna,placed
O20260312-000354,C025276,2026-03-11T17:36:13,FR,EUR,gift_card,paid
O20260312-000355,C033015,2026-03-08T23:50:17,SE,SEK,card,paid
O20260312-000356,C017095,2026-03-12T03:33:42,NL,EUR,paypal,delivered
O20260312-000357,C021168,2026-03-10T18:24:42,FR,EUR,card,shipped
O20260312-000358,C010404,2026-03-09T15:21:21,US,USD,card,shipped
O20260312-000359,C030595,2026-03-08T05:48:01,DE,EUR,gift_card,cancelled
O20260312-000360,C028507,2026-03-07T12:30:53,GB,GBP,paypal,cancelled
O20260312-000361,C031625,2026-03-07T12:19:02,SE,SEK,paypal,delivered
O20260312-000362,C037847,2026-03-09T18:01:10,SE,SEK,paypal,cancelled
O20260312-000363,C037224,2026-03-11T04:42:21,DE,EUR,card,paid
O20260312-000364,C030063,2026-03-09T05:29:00,SE,SEK,paypal,shipped
O20260312-000365,C005268,2026-03-11T07:54:13,SE,SEK,gift_card,paid
O20260312-000366,C036396,2026-03-10T00:30:10,GB,GBP,klarna,cancelled
O20260312-000367,C025825,2026-03-07T06:58:30,GB,GBP,gift_card,placed
O20260312-000368,C008422,2026-03-10T04:25:49,NL,EUR,klarna,cancelled
O20260312-000369,C035004,2026-03-12T11:31:42,NL,EUR,card,paid
O20260312-000370,C024192,2026-03-10T10:32:52,DE,EUR,card,paid
O20260312-000371,C032765,2026-03-11T01:13:19,DE,EUR,gift_card,delivered
O20260312-000372,C011789,2026-03-09T04:18:19,GB,GBP,gift_card,shipped
O20260312-000373,C011765,2026-03-11T12:43:33,NL,EUR,card,shipped
O20260312-000374,C006646,2026-03-07T12:51:51,GB,GBP,card,paid
O20260312-000375,C033225,2026-03-09T21:29:00,FR,EUR,gift_card,placed
O20260312-000376,C027852,2026-03-10T23:40:07,SE,SEK,gift_card,shipped
O20260312-000377,C023912,2026-03-12T05:27:34,FR,EUR,gift_card,placed
O20260312-000378,C038677,2026-03-10T06:32:52,SE,SEK,gift_card,delivered
O20260312-000379,C002612,2026-03-12T15:29:23,SE,SEK,card,delivered
O20260312-000380,C019409,2026-03-12T17:17:11,SE,SEK,klarna,placed
O20260312-000381,C021276,2026-03-10T20:02:38,NL,EUR,card,cancelled
O20260312-000382,C025967,2026-03-11T05:05:34,GB,GBP,card,delivered
O20260312-000383,C018003,2026-03-10T14:44:39,NL,EUR,paypal,placed
