refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status,new_refund_processor,new_case_id
R20260312-0000104,L20260312-0000892,O20260312-000340,2026-03-07T15:37:44,101.51,late_delivery,pending,B,B
R20260312-0000105,L20260312-0000917,O20260312-000349,2026-03-10T18:13:11,112.80,other,rejected,B,
R20260312-0000106,L20260312-0000923,O20260312-000352,2026-03-10T07:11:56,11.81,damaged,approved,B,legacy
R20260312-0000107,L20260312-0000924,O20260312-000352,2026-03-05T13:24:07,140.18,damaged,approved,B,legacy
R20260312-0000108,L20260312-0000932,O20260312-000355,2026-03-08T06:23:24,16.20,damaged,pending,legacy,legacy
R20260312-0000109,L20260312-0000933,O20260312-000355,2026-03-04T09:59:20,155.71,late_delivery,rejected,B,A
R20260312-0000110,L20260312-0000948,O20260312-000361,2026-03-12T14:53:48,1.41,customer_remorse,approved,C,C
R20260312-0000111,L20260312-0000949,O20260312-000362,2026-03-08T10:47:37,74.40,customer_remorse,pending,,B
R20260312-0000112,L20260312-0000953,O20260312-000365,2026-03-02T12:27:17,271.16,damaged,approved,C,B
R20260312-0000113,L20260312-0000954,O20260312-000365,2026-03-07T09:55:05,46.41,damaged,rejected,B,B
R20260312-0000114,L20260312-0000968,O20260312-000369,2026-03-09T13:26:35,91.32,late_delivery,pending,,
R20260312-0000115,L20260312-0000976,O20260312-000372,2026-03-06T17:35:33,14.86,other,approved,A,legacy
R20260312-0000116,L20260312-0000987,O20260312-000377,2026-03-06T00:44:38,73.58,late_delivery,approved,C,A
R20260312-0000117,L20260312-0000988,O20260312-000377,2026-03-06T22:48:22,62.81,customer_remorse,rejected,,
R20260312-0000118,L20260312-0000994,O20260312-000380,2026-03-03T11:59:08,122.86,damaged,pending,A,A
R20260312-0000119,L20260312-0001001,O20260312-000384,2026-03-05T09:24:38,117.58,late_delivery,approved,legacy,
R20260312-0000120,L20260312-0001002,O20260312-000384,2026-03-02T17:09:17,121.09,damaged,rejected,A,legacy
R20260312-0000121,L20260312-0001011,O20260312-000387,2026-03-08T23:46:23,5.94,wrong_size,approved,B,
R20260312-0000122,L20260312-0001017,O20260312-000390,2026-03-04T04:00:54,67.87,other,approved,legacy,
R20260312-0000123,L20260312-0001021,O20260312-000391,2026-03-12T02:40:25,9.11,late_delivery,rejected,A,legacy
R20260312-0000124,L20260312-0001036,O20260312-000396,2026-03-04T20:58:52,23.85,other,approved,B,B
R20260312-0000125,L20260312-0001040,O20260312-000397,2026-03-11T12:59:34,121.76,wrong_size,approved,,A
R20260312-0000126,L20260312-0001042,O20260312-000397,2026-03-04T20:44:48,11.12,damaged,approved,A,A
R20260312-0000127,L20260312-0001045,O20260312-000399,2026-03-05T03:52:42,39.01,damaged,pending,,A
R20260312-0000128,L20260312-0001047,O20260312-000399,2026-03-07T07:52:55,15.32,customer_remorse,approved,B,
R20260312-0000129,L20260312-0001050,O20260312-000400,2026-03-06T18:20:43,127.38,damaged,approved,A,C
R20260312-0000130,L20260312-0001055,O20260312-000403,2026-03-08T17:45:20,190.71,wrong_size,approved,legacy,B
