order_line_id,order_id,product_id,quantity,unit_price,sku,line_discount_amount,tax_rate
L20260313-0001511,O20260313-000588,P00116,1,120.21,SKU-00116,5.00,0.20
L20260313-0001512,O20260313-000589,P00025,1,138.71,SKU-00025,3.00,0.20
L20260313-0001513,O20260313-000589,P00077,2,157.08,SKU-00077,3.00,0.10
L20260313-0001514,O20260313-000589,P00109,1,202.31,SKU-00109,5.00,0.00
L20260313-0001515,O20260313-000590,P00062,1,71.15,SKU-00062,3.00,0.07
L20260313-0001516,O20260313-000590,P00008,1,137.16,SKU-00008,0.00,0.07
L20260313-0001517,O20260313-000591,P00107,2,155.56,SKU-00107,1.50,0.20
L20260313-0001518,O20260313-000592,P00055,1,102.20,SKU-00055,0.00,0.10
L20260313-0001519,O20260313-000593,P00015,1,114.30,SKU-00015,1.50,0.25
L20260313-0001520,O20260313-000593,P00005,1,30.97,SKU-00005,0.00,0.00
L20260313-0001521,O20260313-000593,P00075,1,144.44,SKU-00075,0.00,0.00
L20260313-0001522,O20260313-000594,P00013,1,90.80,SKU-00013,0.00,0.20
L20260313-0001523,O20260313-000595,P00055,3,102.20,SKU-00055,0.00,0.00
L20260313-0001524,O20260313-000596,P00118,1,250.87,SKU-00118,0.00,0.20
L20260313-0001525,O20260313-000597,P00114,1,246.88,SKU-00114,0.00,0.00
L20260313-0001526,O20260313-000598,P00053,2,91.53,SKU-00053,0.00,0.10
L20260313-0001527,O20260313-000598,P00110,1,85.31,SKU-00110,3.00,0.07
L20260313-0001528,O20260313-000599,P00070,1,82.95,SKU-00070,5.00,0.00
L20260313-0001529,O20260313-000600,P00113,1,185.01,SKU-00113,5.00,0.25
L20260313-0001530,O20260313-000600,P00029,3,87.92,SKU-00029,0.00,0.07
L20260313-0001531,O20260313-000601,P00024,3,218.72,SKU-00024,0.00,0.07
L20260313-0001532,O20260313-000601,P00084,1,90.61,SKU-00084,1.50,0.25
L20260313-0001533,O20260313-000601,P00056,2,179.45,SKU-00056,3.00,0.20
L20260313-0001534,O20260313-000601,P00022,3,70.70,SKU-00022,1.50,0.10
L20260313-0001535,O20260313-000602,P00003,2,137.80,SKU-00003,0.00,0.25
L20260313-0001536,O20260313-000602,P00054,2,190.10,SKU-00054,1.50,0.20
L20260313-0001537,O20260313-000602,P00002,1,112.31,SKU-00002,5.00,0.07
L20260313-0001538,O20260313-000603,P00116,1,120.21,SKU-00116,1.50,0.07
L20260313-0001539,O20260313-000604,P00075,1,144.44,SKU-00075,0.00,0.07
L20260313-0001540,O20260313-000605,P00001,1,124.15,SKU-00001,0.00,0.10
