order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date,new_device_type,new_marketing_channel
O20260313-000588,C039679,2026-03-08T15:46:59,DE,EUR,paypal,4.99,0.00,paid,2026-03-13,B,B
O20260313-000589,C006791,2026-03-13T18:28:08,DE,EUR,card,2.99,0.00,delivered,2026-03-13,B,C
O20260313-000590,C031388,2026-03-11T09:57:54,US,USD,klarna,2.99,5.00,delivered,2026-03-13,C,B
O20260313-000591,C022065,2026-03-10T18:08:54,SE,SEK,paypal,0.00,0.00,placed,2026-03-13,C,A
O20260313-000592,C019777,2026-03-11T18:27:54,US,USD,klarna,7.99,0.00,paid,2026-03-13,C,
O20260313-000593,C014644,2026-03-09T01:52:01,GB,GBP,paypal,4.99,0.00,paid,2026-03-13,,legacy
O20260313-000594,C013372,2026-03-08T14:21:54,US,USD,gift_card,4.99,15.00,cancelled,2026-03-13,B,A
O20260313-000595,C012473,2026-03-11T18:21:40,NL,EUR,gift_card,0.00,15.00,delivered,2026-03-13,B,A
O20260313-000596,C037596,2026-03-09T06:04:16,US,USD,klarna,4.99,0.00,shipped,2026-03-13,C,
O20260313-000597,C021448,2026-03-10T12:14:05,GB,GBP,card,2.99,15.00,cancelled,2026-03-13,C,legacy
O20260313-000598,C003150,2026-03-12T09:56:11,SE,SEK,paypal,7.99,0.00,paid,2026-03-13,C,B
O20260313-000599,C016297,2026-03-12T09:29:18,US,USD,paypal,4.99,10.00,paid,2026-03-13,C,C
O20260313-000600,C007064,2026-03-13T09:14:42,GB,GBP,gift_card,7.99,15.00,delivered,2026-03-13,legacy,B
O20260313-000601,C001837,2026-03-13T17:50:57,FR,EUR,klarna,2.99,15.00,shipped,2026-03-13,A,
O20260313-000602,C038180,2026-03-13T04:56:51,NL,EUR,card,7.99,10.00,shipped,2026-03-13,C,C
O20260313-000603,C030528,2026-03-11T06:02:19,US,USD,paypal,4.99,0.00,paid,2026-03-13,A,A
O20260313-000604,C035165,2026-03-11T01:10:10,DE,EUR,klarna,7.99,10.00,shipped,2026-03-13,A,legacy
O20260313-000605,C029390,2026-03-11T23:55:48,DE,EUR,paypal,2.99,0.00,paid,2026-03-13,,B
O20260313-000606,C010048,2026-03-09T07:00:08,FR,EUR,card,2.99,5.00,delivered,2026-03-13,legacy,legacy
O20260313-000607,C007066,2026-03-12T06:56:00,FR,EUR,paypal,0.00,0.00,paid,2026-03-13,A,legacy
O20260313-000608,C026758,2026-03-10T14:04:46,SE,SEK,card,7.99,10.00,shipped,2026-03-13,B,
O20260313-000609,C028675,2026-03-10T04:49:30,US,USD,klarna,4.99,0.00,placed,2026-03-13,B,A
O20260313-000610,C018219,2026-03-08T11:13:03,DE,EUR,card,2.99,0.00,cancelled,2026-03-13,,B
O20260313-000611,C016929,2026-03-10T05:15:01,FR,EUR,paypal,4.99,0.00,placed,2026-03-13,C,B
O20260313-000612,C035402,2026-03-11T14:04:51,DE,EUR,card,0.00,10.00,paid,2026-03-13,C,legacy
O20260313-000613,C008678,2026-03-11T01:56:23,DE,EUR,card,7.99,10.00,shipped,2026-03-13,C,legacy
O20260313-000614,C035814,2026-03-10T23:49:06,GB,GBP,gift_card,7.99,5.00,shipped,2026-03-13,legacy,B
O20260313-000615,C006939,2026-03-09T19:59:55,NL,EUR,paypal,4.99,0.00,delivered,2026-03-13,A,legacy
O20260313-000616,C035496,2026-03-12T17:55:58,SE,SEK,gift_card,2.99,10.00,paid,2026-03-13,legacy,C
O20260313-000617,C033148,2026-03-13T05:09:20,SE,SEK,card,4.99,10.00,delivered,2026-03-13,legacy,
O20260313-000618,C018465,2026-03-08T08:58:32,FR,EUR,paypal,2.99,10.00,paid,2026-03-13,legacy,A
O20260313-000619,C012297,2026-03-10T18:49:04,GB,GBP,paypal,0.00,0.00,placed,2026-03-13,,
O20260313-000620,C003090,2026-03-13T16:29:32,US,USD,card,2.99,5.00,cancelled,2026-03-13,C,A
O20260313-000621,C003277,2026-03-08T02:29:54,NL,EUR,card,7.99,5.00,placed,2026-03-13,C,A
O20260313-000622,C014781,2026-03-09T04:22:06,GB,GBP,klarna,4.99,0.00,cancelled,2026-03-13,A,A
O20260313-000623,C007170,2026-03-10T03:11:11,SE,SEK,paypal,7.99,10.00,shipped,2026-03-13,B,A
O20260313-000624,C014439,2026-03-09T14:11:10,DE,EUR,card,4.99,5.00,paid,2026-03-13,B,C
O20260313-000625,C007405,2026-03-10T05:24:43,DE,EUR,klarna,4.99,15.00,delivered,2026-03-13,C,B
O20260313-000626,C012800,2026-03-08T23:00:44,DE,EUR,paypal,2.99,5.00,shipped,2026-03-13,C,A
