order_line_id,order_id,product_id,quantity,unit_price,sku,line_discount_amount,tax_rate,line_ts,new_fulfillment_mode
L20260314-0002121,O20260314-000815,P00079,3,97.49,SKU-00079,0.00,0.07,2026-03-10T17:41:01,B
L20260314-0002122,O20260314-000815,P00083,1,60.39,SKU-00083,0.00,0.10,2026-03-07T18:55:26,B
L20260314-0002123,O20260314-000816,P00081,1,102.43,SKU-00081,0.00,0.25,2026-03-10T00:38:04,A
L20260314-0002124,O20260314-000817,P00090,1,34.54,SKU-00090,3.00,0.07,2026-03-07T13:08:18,C
L20260314-0002125,O20260314-000817,P00113,1,185.01,SKU-00113,3.00,0.20,2026-03-12T04:23:16,C
L20260314-0002126,O20260314-000817,P00077,1,157.08,SKU-00077,0.00,0.07,2026-03-08T19:14:03,legacy
L20260314-0002127,O20260314-000817,P00077,1,157.08,SKU-00077,1.50,0.00,2026-03-13T21:21:09,
L20260314-0002128,O20260314-000818,P00031,1,37.45,SKU-00031,0.00,0.20,2026-03-12T05:25:19,legacy
L20260314-0002129,O20260314-000818,P00117,1,260.73,SKU-00117,1.50,0.20,2026-03-09T13:36:50,legacy
L20260314-0002130,O20260314-000818,P00002,1,112.31,SKU-00002,0.00,0.25,2026-03-10T04:58:39,legacy
L20260314-0002131,O20260314-000818,P00103,1,131.37,SKU-00103,0.00,0.10,2026-03-10T14:51:19,A
L20260314-0002132,O20260314-000819,P00021,3,85.06,SKU-00021,5.00,0.07,2026-03-09T19:26:43,A
L20260314-0002133,O20260314-000819,P00054,2,190.10,SKU-00054,3.00,0.00,2026-03-09T07:55:38,legacy
L20260314-0002134,O20260314-000820,P00102,1,104.40,SKU-00102,0.00,0.20,2026-03-12T23:19:29,
L20260314-0002135,O20260314-000821,P00052,1,257.89,SKU-00052,0.00,0.00,2026-03-11T04:38:36,A
L20260314-0002136,O20260314-000821,P00003,3,137.80,SKU-00003,0.00,0.00,2026-03-08T09:53:29,legacy
L20260314-0002137,O20260314-000822,P00009,1,17.27,SKU-00009,1.50,0.07,2026-03-07T16:31:15,
L20260314-0002138,O20260314-000822,P00108,1,188.64,SKU-00108,1.50,0.10,2026-03-14T22:58:18,legacy
L20260314-0002139,O20260314-000822,P00023,1,170.56,SKU-00023,0.00,0.20,2026-03-07T19:09:46,A
L20260314-0002140,O20260314-000822,P00091,1,176.65,SKU-00091,3.00,0.20,2026-03-09T08:36:14,C
L20260314-0002141,O20260314-000823,P00040,1,69.60,SKU-00040,5.00,0.20,2026-03-14T08:20:54,C
L20260314-0002142,O20260314-000823,P00028,3,263.53,SKU-00028,0.00,0.10,2026-03-12T16:30:35,A
L20260314-0002143,O20260314-000824,P00043,2,58.92,SKU-00043,0.00,0.07,2026-03-13T07:15:01,C
L20260314-0002144,O20260314-000824,P00120,2,94.97,SKU-00120,0.00,0.10,2026-03-09T07:40:57,B
L20260314-0002145,O20260314-000825,P00007,1,29.79,SKU-00007,0.00,0.20,2026-03-10T03:54:11,A
L20260314-0002146,O20260314-000825,P00020,1,173.61,SKU-00020,3.00,0.10,2026-03-14T20:36:34,A
L20260314-0002147,O20260314-000826,P00025,2,138.71,SKU-00025,0.00,0.00,2026-03-11T07:22:02,B
L20260314-0002148,O20260314-000826,P00042,1,93.45,SKU-00042,3.00,0.00,2026-03-12T07:52:08,A
L20260314-0002149,O20260314-000826,P00042,1,93.45,SKU-00042,0.00,0.20,2026-03-13T11:22:20,B
L20260314-0002150,O20260314-000827,P00007,3,29.79,SKU-00007,1.50,0.00,2026-03-10T04:09:57,
L20260314-0002151,O20260314-000827,P00083,1,60.39,SKU-00083,1.50,0.20,2026-03-10T02:05:37,A
L20260314-0002152,O20260314-000827,P00080,1,72.41,SKU-00080,1.50,0.10,2026-03-13T04:20:14,legacy
L20260314-0002153,O20260314-000827,P00066,1,10.75,SKU-00066,3.00,0.25,2026-03-13T18:05:54,A
L20260314-0002154,O20260314-000828,P00106,1,154.38,SKU-00106,0.00,0.10,2026-03-11T23:44:19,
L20260314-0002155,O20260314-000828,P00079,1,97.49,SKU-00079,0.00,0.25,2026-03-07T03:21:44,C
L20260314-0002156,O20260314-000829,P00110,1,85.31,SKU-00110,1.50,0.20,2026-03-13T12:27:51,A
L20260314-0002157,O20260314-000829,P00030,1,214.54,SKU-00030,5.00,0.07,2026-03-10T13:15:01,legacy
L20260314-0002158,O20260314-000829,P00108,2,188.64,SKU-00108,0.00,0.20,2026-03-12T02:42:42,A
L20260314-0002159,O20260314-000829,P00112,3,208.38,SKU-00112,1.50,0.20,2026-03-11T10:08:00,C
L20260314-0002160,O20260314-000830,P00059,2,6.15,SKU-00059,0.00,0.10,2026-03-14T09:09:03,C
L20260314-0002161,O20260314-000831,P00078,3,203.66,SKU-00078,3.00,0.25,2026-03-09T21:41:26,
L20260314-0002162,O20260314-000831,P00077,2,157.08,SKU-00077,3.00,0.00,2026-03-10T06:43:13,A
L20260314-0002163,O20260314-000831,P00089,2,221.76,SKU-00089,0.00,0.25,2026-03-14T23:48:37,legacy
L20260314-0002164,O20260314-000832,P00014,1,22.31,SKU-00014,0.00,0.10,2026-03-08T23:06:54,A
L20260314-0002165,O20260314-000833,P00094,1,184.89,SKU-00094,5.00,0.07,2026-03-07T16:33:32,legacy
L20260314-0002166,O20260314-000834,P00069,3,154.69,SKU-00069,0.00,0.00,2026-03-10T12:42:07,
L20260314-0002167,O20260314-000835,P00032,3,78.43,SKU-00032,5.00,0.00,2026-03-08T16:30:45,A
L20260314-0002168,O20260314-000835,P00069,1,154.69,SKU-00069,0.00,0.25,2026-03-09T13:59:38,C
L20260314-0002169,O20260314-000835,P00006,1,30.11,SKU-00006,0.00,0.25,2026-03-08T10:25:48,A
L20260314-0002170,O20260314-000835,P00072,3,143.56,SKU-00072,0.00,0.20,2026-03-07T05:33:02,legacy
L20260314-0002171,O20260314-000836,P00062,1,71.15,SKU-00062,3.00,0.07,2026-03-14T23:40:35,B
L20260314-0002172,O20260314-000837,P00087,1,108.17,SKU-00087,3.00,0.07,2026-03-11T14:13:22,C
L20260314-0002173,O20260314-000838,P00037,1,162.77,SKU-00037,3.00,0.25,2026-03-11T23:46:45,
L20260314-0002174,O20260314-000838,P00100,1,132.98,SKU-00100,5.00,0.07,2026-03-14T12:38:28,legacy
