order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date
O20260314-000815,C006980,2026-03-11T22:54:54,GB,GBP,card,7.99,15.00,placed,2026-03-14
O20260314-000816,C017096,2026-03-10T14:58:05,US,USD,card,0.00,0.00,cancelled,2026-03-14
O20260314-000817,C029363,2026-03-14T10:25:30,SE,SEK,klarna,7.99,10.00,shipped,2026-03-14
O20260314-000818,C022198,2026-03-14T17:46:32,US,USD,gift_card,0.00,0.00,delivered,2026-03-14
O20260314-000819,C019172,2026-03-12T18:56:46,NL,EUR,paypal,2.99,5.00,paid,2026-03-14
O20260314-000820,C028505,2026-03-10T16:20:01,SE,SEK,klarna,4.99,0.00,shipped,2026-03-14
O20260314-000821,C026774,2026-03-09T18:50:14,NL,EUR,gift_card,4.99,5.00,placed,2026-03-14
O20260314-000822,C017321,2026-03-13T17:27:04,DE,EUR,gift_card,2.99,5.00,delivered,2026-03-14
O20260314-000823,C019705,2026-03-14T04:21:03,US,USD,paypal,4.99,10.00,delivered,2026-03-14
O20260314-000824,C011301,2026-03-11T09:32:50,GB,GBP,card,7.99,0.00,cancelled,2026-03-14
O20260314-000825,C018844,2026-03-10T07:48:47,GB,GBP,gift_card,0.00,10.00,paid,2026-03-14
O20260314-000826,C033565,2026-03-12T07:01:46,SE,SEK,card,0.00,0.00,paid,2026-03-14
O20260314-000827,C035998,2026-03-10T12:38:21,NL,EUR,card,2.99,0.00,shipped,2026-03-14
O20260314-000828,C033012,2026-03-12T04:58:55,GB,GBP,gift_card,7.99,5.00,cancelled,2026-03-14
O20260314-000829,C031120,2026-03-14T06:24:20,NL,EUR,gift_card,2.99,0.00,paid,2026-03-14
O20260314-000830,C027687,2026-03-13T08:19:43,GB,GBP,klarna,2.99,15.00,shipped,2026-03-14
O20260314-000831,C033337,2026-03-10T12:47:47,NL,EUR,paypal,2.99,0.00,cancelled,2026-03-14
O20260314-000832,C009866,2026-03-13T07:23:28,US,USD,gift_card,0.00,10.00,placed,2026-03-14
O20260314-000833,C014408,2026-03-14T14:19:17,NL,EUR,klarna,7.99,10.00,delivered,2026-03-14
O20260314-000834,C027098,2026-03-13T12:15:25,DE,EUR,gift_card,4.99,0.00,cancelled,2026-03-14
O20260314-000835,C036325,2026-03-10T15:52:31,FR,EUR,klarna,7.99,5.00,cancelled,2026-03-14
O20260314-000836,C018800,2026-03-09T07:18:53,SE,SEK,klarna,2.99,15.00,shipped,2026-03-14
O20260314-000837,C029238,2026-03-09T14:50:16,DE,EUR,card,2.99,10.00,delivered,2026-03-14
O20260314-000838,C027519,2026-03-10T15:18:01,NL,EUR,klarna,2.99,0.00,delivered,2026-03-14
O20260314-000839,C030622,2026-03-12T02:19:38,NL,EUR,gift_card,4.99,0.00,shipped,2026-03-14
O20260314-000840,C004983,2026-03-12T15:49:13,US,USD,paypal,0.00,15.00,cancelled,2026-03-14
O20260314-000841,C002119,2026-03-09T22:02:36,US,USD,klarna,0.00,10.00,shipped,2026-03-14
O20260314-000842,C023401,2026-03-09T16:09:15,NL,EUR,klarna,4.99,5.00,paid,2026-03-14
O20260314-000843,C021859,2026-03-09T21:27:23,FR,EUR,paypal,4.99,0.00,paid,2026-03-14
O20260314-000844,C008529,2026-03-11T13:02:40,GB,GBP,card,0.00,5.00,delivered,2026-03-14
O20260314-000845,C037397,2026-03-09T02:04:03,US,USD,paypal,4.99,15.00,shipped,2026-03-14
O20260314-000846,C005099,2026-03-14T19:44:48,NL,EUR,gift_card,4.99,0.00,placed,2026-03-14
O20260314-000847,C006672,2026-03-09T10:32:13,FR,EUR,gift_card,4.99,10.00,delivered,2026-03-14
O20260314-000848,C020445,2026-03-09T09:30:28,US,USD,gift_card,0.00,15.00,delivered,2026-03-14
O20260314-000849,C031907,2026-03-09T00:17:46,FR,EUR,gift_card,7.99,10.00,delivered,2026-03-14
O20260314-000850,C009651,2026-03-09T19:01:47,FR,EUR,klarna,2.99,5.00,delivered,2026-03-14
O20260314-000851,C039348,2026-03-10T11:01:33,SE,SEK,card,4.99,0.00,paid,2026-03-14
O20260314-000852,C015176,2026-03-14T23:11:36,GB,GBP,paypal,7.99,10.00,shipped,2026-03-14
O20260314-000853,C020680,2026-03-12T15:43:15,US,USD,gift_card,2.99,0.00,placed,2026-03-14
O20260314-000854,C003592,2026-03-12T02:13:56,SE,SEK,card,7.99,10.00,placed,2026-03-14
O20260314-000855,C031756,2026-03-12T14:55:15,SE,SEK,paypal,0.00,5.00,delivered,2026-03-14
O20260314-000856,C032791,2026-03-12T05:16:29,GB,GBP,klarna,4.99,0.00,placed,2026-03-14
O20260314-000857,C021451,2026-03-10T08:18:06,DE,EUR,card,2.99,0.00,cancelled,2026-03-14
O20260314-000858,C014789,2026-03-12T02:34:58,NL,EUR,gift_card,7.99,5.00,delivered,2026-03-14
O20260314-000859,C019822,2026-03-14T06:05:13,NL,EUR,klarna,0.00,15.00,paid,2026-03-14
O20260314-000860,C009264,2026-03-12T16:23:12,US,USD,klarna,7.99,5.00,cancelled,2026-03-14
O20260314-000861,C022890,2026-03-13T19:59:33,US,USD,klarna,2.99,0.00,delivered,2026-03-14
O20260314-000862,C039474,2026-03-12T10:56:39,FR,EUR,card,4.99,0.00,paid,2026-03-14
O20260314-000863,C024584,2026-03-12T11:51:33,FR,EUR,card,7.99,10.00,shipped,2026-03-14
O20260314-000864,C011654,2026-03-13T17:13:54,FR,EUR,card,2.99,5.00,cancelled,2026-03-14
O20260314-000865,C006010,2026-03-10T22:48:02,FR,EUR,card,2.99,15.00,placed,2026-03-14
O20260314-000866,C025244,2026-03-13T08:08:45,SE,SEK,paypal,4.99,0.00,placed,2026-03-14
O20260314-000867,C039864,2026-03-12T18:29:47,GB,GBP,paypal,0.00,15.00,placed,2026-03-14
O20260314-000868,C004150,2026-03-10T10:09:30,DE,EUR,paypal,4.99,0.00,placed,2026-03-14
O20260314-000869,C026318,2026-03-14T06:15:05,SE,SEK,klarna,4.99,5.00,paid,2026-03-14
O20260314-000870,C004114,2026-03-12T07:02:12,US,USD,card,4.99,5.00,placed,2026-03-14
O20260314-000871,C028899,2026-03-10T02:42:45,NL,EUR,card,0.00,15.00,delivered,2026-03-14
O20260314-000872,C035982,2026-03-12T21:49:20,SE,SEK,klarna,7.99,10.00,delivered,2026-03-14
O20260314-000873,C020017,2026-03-12T09:07:50,DE,EUR,paypal,0.00,0.00,delivered,2026-03-14
O20260314-000874,C039188,2026-03-12T10:09:03,FR,EUR,gift_card,4.99,0.00,cancelled,2026-03-14
O20260314-000875,C006749,2026-03-14T13:06:58,GB,GBP,gift_card,7.99,15.00,placed,2026-03-14
O20260314-000876,C003859,2026-03-09T23:33:40,US,USD,paypal,2.99,5.00,paid,2026-03-14
O20260314-000877,C008094,2026-03-11T17:09:26,GB,GBP,paypal,2.99,0.00,delivered,2026-03-14
O20260314-000878,C026353,2026-03-13T20:50:24,SE,SEK,gift_card,2.99,0.00,cancelled,2026-03-14
O20260314-000879,C017760,2026-03-11T18:51:59,DE,EUR,card,0.00,0.00,shipped,2026-03-14
O20260314-000880,C015100,2026-03-13T21:51:40,FR,EUR,klarna,7.99,0.00,paid,2026-03-14
