refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status
R20260314-0000243,L20260314-0002121,O20260314-000815,2026-03-09T18:22:59,120.73,wrong_size,rejected
R20260314-0000244,L20260314-0002148,O20260314-000826,2026-03-05T02:37:22,24.74,late_delivery,rejected
R20260314-0000245,L20260314-0002149,O20260314-000826,2026-03-06T09:11:27,51.64,customer_remorse,approved
R20260314-0000246,L20260314-0002152,O20260314-000827,2026-03-08T03:23:55,58.94,damaged,approved
R20260314-0000247,L20260314-0002153,O20260314-000827,2026-03-05T03:21:19,1.80,other,approved
R20260314-0000248,L20260314-0002160,O20260314-000830,2026-03-05T00:05:00,12.22,other,pending
R20260314-0000249,L20260314-0002161,O20260314-000831,2026-03-10T14:45:38,570.58,damaged,pending
R20260314-0000250,L20260314-0002166,O20260314-000834,2026-03-07T07:33:42,455.38,damaged,pending
R20260314-0000251,L20260314-0002173,O20260314-000838,2026-03-13T01:51:11,110.29,late_delivery,pending
R20260314-0000252,L20260314-0002177,O20260314-000839,2026-03-08T18:36:28,162.55,late_delivery,pending
R20260314-0000253,L20260314-0002189,O20260314-000844,2026-03-09T09:43:39,87.91,damaged,pending
R20260314-0000254,L20260314-0002195,O20260314-000847,2026-03-08T16:21:26,139.99,other,rejected
R20260314-0000255,L20260314-0002200,O20260314-000849,2026-03-06T10:43:38,143.32,customer_remorse,approved
R20260314-0000256,L20260314-0002234,O20260314-000865,2026-03-04T23:15:17,55.63,customer_remorse,pending
R20260314-0000257,L20260314-0002239,O20260314-000868,2026-03-07T15:10:38,46.03,damaged,rejected
R20260314-0000258,L20260314-0002248,O20260314-000872,2026-03-09T08:35:55,128.11,damaged,pending
R20260314-0000259,L20260314-0002262,O20260314-000879,2026-03-14T15:14:29,77.10,late_delivery,approved
R20260314-0000260,L20260314-0002265,O20260314-000881,2026-03-08T06:11:51,1.25,wrong_size,approved
R20260314-0000261,L20260314-0002267,O20260314-000882,2026-03-12T13:23:33,104.89,late_delivery,rejected
R20260314-0000262,L20260314-0002291,O20260314-000893,2026-03-05T09:52:52,125.49,damaged,approved
R20260314-0000263,L20260314-0002293,O20260314-000894,2026-03-08T01:30:51,156.37,other,approved
R20260314-0000264,L20260314-0002306,O20260314-000900,2026-03-10T06:56:20,2.23,customer_remorse,rejected
R20260314-0000265,L20260314-0002312,O20260314-000902,2026-03-09T21:48:49,68.97,late_delivery,pending
R20260314-0000266,L20260314-0002313,O20260314-000902,2026-03-14T23:25:55,98.59,other,pending
R20260314-0000267,L20260314-0002316,O20260314-000903,2026-03-06T21:07:10,12.24,other,approved
R20260314-0000268,L20260314-0002339,O20260314-000913,2026-03-14T20:51:48,70.00,customer_remorse,rejected
R20260314-0000269,L20260314-0002362,O20260314-000923,2026-03-10T19:08:30,12.79,late_delivery,rejected
R20260314-0000270,L20260314-0002363,O20260314-000923,2026-03-13T14:35:55,2.42,other,approved
R20260314-0000271,L20260314-0002369,O20260314-000926,2026-03-06T10:47:39,127.50,other,pending
R20260314-0000272,L20260314-0002378,O20260314-000929,2026-03-04T01:29:40,288.96,wrong_size,pending
R20260314-0000273,L20260314-0002379,O20260314-000929,2026-03-09T04:27:39,195.94,other,approved
R20260314-0000274,L20260314-0002384,O20260314-000931,2026-03-05T21:39:25,23.10,customer_remorse,approved
R20260314-0000275,L20260314-0002393,O20260314-000935,2026-03-07T19:41:37,202.02,damaged,pending
R20260314-0000276,L20260314-0002396,O20260314-000936,2026-03-07T06:59:10,86.80,damaged,approved
R20260314-0000277,L20260314-0002403,O20260314-000940,2026-03-11T02:42:34,42.66,late_delivery,rejected
R20260314-0000278,L20260314-0002404,O20260314-000940,2026-03-08T16:08:51,289.70,damaged,pending
R20260314-0000279,L20260314-0002410,O20260314-000942,2026-03-10T16:18:45,109.85,customer_remorse,approved
R20260314-0000280,L20260314-0002426,O20260314-000948,2026-03-12T21:12:48,40.86,other,approved
R20260314-0000281,L20260314-0002440,O20260314-000954,2026-03-05T01:15:03,122.05,other,approved
R20260314-0000282,L20260314-0002501,O20260314-000978,2026-03-10T10:57:23,50.05,other,pending
R20260314-0000283,L20260314-0002525,O20260314-000990,2026-03-12T04:31:09,37.44,customer_remorse,pending
R20260314-0000284,L20260314-0002536,O20260314-000994,2026-03-09T10:35:15,88.08,wrong_size,pending
R20260314-0000285,L20260314-0002554,O20260314-001004,2026-03-05T11:48:00,129.04,wrong_size,rejected
