order_line_id,order_id,product_id,quantity,unit_price,sku,line_discount_amount,tax_rate,line_ts
L20260315-0002671,O20260315-001039,P00044,2,216.91,SKU-00044,3.00,0.00,2026-03-15T18:34:50
L20260315-0002672,O20260315-001039,P00093,1,184.63,SKU-00093,1.50,0.20,2026-03-12T13:41:38
L20260315-0002673,O20260315-001040,P00090,1,34.54,SKU-00090,0.00,0.07,2026-03-11T02:52:58
L20260315-0002674,O20260315-001041,P00106,2,154.38,SKU-00106,1.50,0.07,2026-03-13T18:32:20
L20260315-0002675,O20260315-001041,P00056,3,179.45,SKU-00056,1.50,0.25,2026-03-08T23:51:28
L20260315-0002676,O20260315-001042,P00095,2,130.25,SKU-00095,0.00,0.20,2026-03-15T00:31:17
L20260315-0002677,O20260315-001043,P00013,1,90.80,SKU-00013,0.00,0.07,2026-03-08T01:03:50
L20260315-0002678,O20260315-001043,P00036,3,314.75,SKU-00036,0.00,0.20,2026-03-11T09:12:24
L20260315-0002679,O20260315-001043,P00072,2,143.56,SKU-00072,0.00,0.20,2026-03-12T16:58:44
L20260315-0002680,O20260315-001043,P00059,2,6.15,SKU-00059,0.00,0.00,2026-03-10T15:45:31
L20260315-0002681,O20260315-001044,P00107,1,155.56,SKU-00107,1.50,0.10,2026-03-10T16:27:27
L20260315-0002682,O20260315-001044,P00016,3,230.65,SKU-00016,0.00,0.10,2026-03-08T09:04:17
L20260315-0002683,O20260315-001044,P00022,2,70.70,SKU-00022,5.00,0.10,2026-03-12T20:04:16
L20260315-0002684,O20260315-001045,P00093,3,184.63,SKU-00093,5.00,0.25,2026-03-08T05:26:13
L20260315-0002685,O20260315-001046,P00088,3,237.21,SKU-00088,0.00,0.00,2026-03-13T04:13:45
L20260315-0002686,O20260315-001046,P00029,3,87.92,SKU-00029,5.00,0.25,2026-03-13T03:20:36
L20260315-0002687,O20260315-001046,P00101,1,276.64,SKU-00101,0.00,0.20,2026-03-14T06:55:08
L20260315-0002688,O20260315-001047,P00038,1,122.02,SKU-00038,5.00,0.10,2026-03-10T13:29:59
L20260315-0002689,O20260315-001048,P00010,1,171.97,SKU-00010,1.50,0.00,2026-03-08T20:44:24
L20260315-0002690,O20260315-001048,P00050,1,15.11,SKU-00050,1.50,0.10,2026-03-09T17:37:53
L20260315-0002691,O20260315-001048,P00030,3,214.54,SKU-00030,0.00,0.00,2026-03-09T21:52:47
L20260315-0002692,O20260315-001048,P00040,1,69.60,SKU-00040,3.00,0.20,2026-03-08T21:28:48
L20260315-0002693,O20260315-001049,P00120,1,94.97,SKU-00120,3.00,0.20,2026-03-09T12:55:16
L20260315-0002694,O20260315-001049,P00062,2,71.15,SKU-00062,0.00,0.25,2026-03-10T04:00:32
L20260315-0002695,O20260315-001049,P00086,1,41.51,SKU-00086,0.00,0.25,2026-03-09T09:21:56
L20260315-0002696,O20260315-001049,P00042,1,93.45,SKU-00042,0.00,0.20,2026-03-10T01:18:36
L20260315-0002697,O20260315-001050,P00068,1,207.20,SKU-00068,5.00,0.25,2026-03-08T04:29:23
L20260315-0002698,O20260315-001050,P00039,1,49.71,SKU-00039,0.00,0.07,2026-03-15T13:04:43
L20260315-0002699,O20260315-001050,P00090,3,34.54,SKU-00090,1.50,0.00,2026-03-09T19:10:38
L20260315-0002700,O20260315-001050,P00106,3,154.38,SKU-00106,3.00,0.07,2026-03-09T21:17:02
L20260315-0002701,O20260315-001051,P00049,2,130.32,SKU-00049,0.00,0.10,2026-03-09T13:12:37
L20260315-0002702,O20260315-001052,P00032,1,78.43,SKU-00032,0.00,0.10,2026-03-12T01:12:05
L20260315-0002703,O20260315-001053,P00073,1,35.38,SKU-00073,0.00,0.00,2026-03-14T03:58:07
L20260315-0002704,O20260315-001053,P00103,3,131.37,SKU-00103,1.50,0.00,2026-03-09T11:16:32
L20260315-0002705,O20260315-001054,P00044,3,216.91,SKU-00044,3.00,0.10,2026-03-10T04:44:18
L20260315-0002706,O20260315-001054,P00046,1,153.99,SKU-00046,5.00,0.20,2026-03-14T10:04:17
L20260315-0002707,O20260315-001054,P00025,2,138.71,SKU-00025,5.00,0.20,2026-03-11T11:29:45
L20260315-0002708,O20260315-001055,P00041,1,243.67,SKU-00041,3.00,0.25,2026-03-12T20:32:29
L20260315-0002709,O20260315-001055,P00092,1,168.91,SKU-00092,0.00,0.10,2026-03-10T12:27:58
L20260315-0002710,O20260315-001056,P00113,1,185.01,SKU-00113,0.00,0.25,2026-03-10T22:56:47
L20260315-0002711,O20260315-001056,P00069,2,154.69,SKU-00069,1.50,0.00,2026-03-08T20:34:59
L20260315-0002712,O20260315-001056,P00019,1,267.61,SKU-00019,3.00,0.00,2026-03-14T19:39:47
L20260315-0002713,O20260315-001056,P00075,1,144.44,SKU-00075,3.00,0.07,2026-03-11T13:59:38
L20260315-0002714,O20260315-001057,P00082,2,141.76,SKU-00082,3.00,0.07,2026-03-12T12:51:56
L20260315-0002715,O20260315-001057,P00088,3,237.21,SKU-00088,1.50,0.07,2026-03-09T16:55:23
L20260315-0002716,O20260315-001057,P00108,1,188.64,SKU-00108,3.00,0.25,2026-03-08T06:27:30
L20260315-0002717,O20260315-001058,P00012,1,60.77,SKU-00012,0.00,0.20,2026-03-14T19:48:03
L20260315-0002718,O20260315-001059,P00110,1,85.31,SKU-00110,0.00,0.07,2026-03-08T05:06:58
L20260315-0002719,O20260315-001059,P00017,1,188.62,SKU-00017,1.50,0.00,2026-03-15T20:17:57
L20260315-0002720,O20260315-001059,P00046,2,153.99,SKU-00046,0.00,0.10,2026-03-11T13:44:11
L20260315-0002721,O20260315-001060,P00005,1,30.97,SKU-00005,3.00,0.10,2026-03-09T13:13:40
L20260315-0002722,O20260315-001060,P00102,1,104.40,SKU-00102,5.00,0.07,2026-03-10T01:33:09
L20260315-0002723,O20260315-001061,P00025,1,138.71,SKU-00025,3.00,0.07,2026-03-10T07:43:34
