order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date,new_device_type
O20260315-001039,C034625,2026-03-13T20:59:43,NL,EUR,klarna,0.00,15.00,placed,2026-03-15,C
O20260315-001040,C002263,2026-03-13T02:54:49,DE,EUR,card,4.99,5.00,cancelled,2026-03-15,
O20260315-001041,C002149,2026-03-13T03:03:38,FR,EUR,paypal,2.99,5.00,delivered,2026-03-15,legacy
O20260315-001042,C016241,2026-03-14T13:12:48,SE,SEK,paypal,0.00,5.00,delivered,2026-03-15,A
O20260315-001043,C024138,2026-03-10T09:12:29,GB,GBP,card,0.00,15.00,cancelled,2026-03-15,B
O20260315-001044,C007833,2026-03-12T08:14:28,SE,SEK,gift_card,0.00,0.00,placed,2026-03-15,B
O20260315-001045,C000703,2026-03-10T08:28:03,NL,EUR,card,2.99,5.00,cancelled,2026-03-15,B
O20260315-001046,C036163,2026-03-10T07:55:13,DE,EUR,gift_card,0.00,10.00,cancelled,2026-03-15,A
O20260315-001047,C024949,2026-03-11T03:29:24,SE,SEK,gift_card,4.99,0.00,shipped,2026-03-15,legacy
O20260315-001048,C006187,2026-03-12T23:15:44,FR,EUR,paypal,0.00,0.00,placed,2026-03-15,legacy
O20260315-001049,C022752,2026-03-10T11:57:52,GB,GBP,card,7.99,15.00,cancelled,2026-03-15,legacy
O20260315-001050,C016211,2026-03-10T20:04:31,DE,EUR,paypal,7.99,5.00,delivered,2026-03-15,A
O20260315-001051,C034022,2026-03-11T22:52:16,US,USD,klarna,0.00,10.00,shipped,2026-03-15,
O20260315-001052,C019400,2026-03-13T04:47:21,GB,GBP,paypal,4.99,10.00,placed,2026-03-15,A
O20260315-001053,C032602,2026-03-12T11:00:36,GB,GBP,klarna,7.99,0.00,placed,2026-03-15,legacy
O20260315-001054,C035258,2026-03-10T10:27:09,NL,EUR,paypal,7.99,0.00,cancelled,2026-03-15,C
O20260315-001055,C010494,2026-03-12T00:48:08,GB,GBP,gift_card,0.00,0.00,cancelled,2026-03-15,A
O20260315-001056,C033590,2026-03-15T23:07:01,NL,EUR,paypal,7.99,0.00,cancelled,2026-03-15,
O20260315-001057,C004457,2026-03-11T08:54:36,GB,GBP,card,0.00,10.00,placed,2026-03-15,C
O20260315-001058,C012866,2026-03-14T15:44:25,US,USD,paypal,0.00,5.00,cancelled,2026-03-15,A
O20260315-001059,C030471,2026-03-12T15:50:03,NL,EUR,card,4.99,15.00,delivered,2026-03-15,B
O20260315-001060,C025278,2026-03-11T04:56:06,DE,EUR,card,4.99,10.00,cancelled,2026-03-15,C
O20260315-001061,C020049,2026-03-12T00:31:28,NL,EUR,paypal,4.99,15.00,shipped,2026-03-15,A
O20260315-001062,C036893,2026-03-10T03:37:52,NL,EUR,paypal,2.99,0.00,shipped,2026-03-15,B
O20260315-001063,C013413,2026-03-13T12:15:54,US,USD,gift_card,4.99,15.00,cancelled,2026-03-15,A
O20260315-001064,C023050,2026-03-15T01:31:22,DE,EUR,card,7.99,10.00,shipped,2026-03-15,A
O20260315-001065,C034403,2026-03-12T20:30:12,GB,GBP,klarna,0.00,15.00,paid,2026-03-15,
O20260315-001066,C007406,2026-03-12T23:31:16,GB,GBP,gift_card,4.99,10.00,delivered,2026-03-15,legacy
O20260315-001067,C015648,2026-03-13T19:59:39,FR,EUR,klarna,4.99,0.00,cancelled,2026-03-15,legacy
O20260315-001068,C024435,2026-03-12T19:37:37,DE,EUR,gift_card,0.00,0.00,shipped,2026-03-15,
O20260315-001069,C002366,2026-03-15T19:12:03,DE,EUR,gift_card,4.99,10.00,cancelled,2026-03-15,
O20260315-001070,C009746,2026-03-12T15:07:36,US,USD,card,7.99,15.00,cancelled,2026-03-15,C
O20260315-001071,C013817,2026-03-13T07:43:02,DE,EUR,paypal,0.00,0.00,cancelled,2026-03-15,legacy
O20260315-001072,C036492,2026-03-14T01:20:41,NL,EUR,gift_card,2.99,15.00,delivered,2026-03-15,
O20260315-001073,C015214,2026-03-14T10:53:21,SE,SEK,paypal,7.99,0.00,placed,2026-03-15,C
O20260315-001074,C039206,2026-03-10T08:49:35,DE,EUR,gift_card,4.99,10.00,cancelled,2026-03-15,C
O20260315-001075,C007454,2026-03-14T17:10:25,US,USD,paypal,4.99,5.00,placed,2026-03-15,legacy
O20260315-001076,C015123,2026-03-11T05:51:08,NL,EUR,paypal,2.99,0.00,delivered,2026-03-15,C
O20260315-001077,C030153,2026-03-11T13:21:57,GB,GBP,card,2.99,15.00,shipped,2026-03-15,A
O20260315-001078,C028796,2026-03-13T20:41:03,GB,GBP,klarna,4.99,10.00,delivered,2026-03-15,legacy
O20260315-001079,C031623,2026-03-11T02:29:19,GB,GBP,paypal,0.00,0.00,shipped,2026-03-15,C
O20260315-001080,C019780,2026-03-10T10:13:22,DE,EUR,paypal,0.00,0.00,shipped,2026-03-15,legacy
O20260315-001081,C023051,2026-03-15T18:09:57,NL,EUR,gift_card,2.99,0.00,cancelled,2026-03-15,A
O20260315-001082,C033789,2026-03-15T23:50:12,SE,SEK,gift_card,4.99,10.00,shipped,2026-03-15,C
O20260315-001083,C012220,2026-03-11T08:12:12,NL,EUR,card,7.99,15.00,delivered,2026-03-15,C
O20260315-001084,C000313,2026-03-11T17:20:20,NL,EUR,card,7.99,15.00,shipped,2026-03-15,A
O20260315-001085,C037960,2026-03-10T08:17:51,DE,EUR,card,0.00,0.00,placed,2026-03-15,C
O20260315-001086,C009563,2026-03-12T23:37:30,SE,SEK,klarna,2.99,5.00,shipped,2026-03-15,legacy
O20260315-001087,C009848,2026-03-15T00:06:54,FR,EUR,card,7.99,15.00,cancelled,2026-03-15,
O20260315-001088,C007447,2026-03-14T04:48:54,GB,GBP,paypal,4.99,10.00,shipped,2026-03-15,B
O20260315-001089,C034647,2026-03-13T16:56:40,DE,EUR,card,0.00,0.00,shipped,2026-03-15,B
O20260315-001090,C032735,2026-03-15T06:19:29,GB,GBP,klarna,7.99,0.00,placed,2026-03-15,
O20260315-001091,C018763,2026-03-10T05:24:11,NL,EUR,klarna,4.99,5.00,shipped,2026-03-15,
O20260315-001092,C010661,2026-03-15T05:07:53,NL,EUR,paypal,4.99,5.00,delivered,2026-03-15,legacy
O20260315-001093,C011117,2026-03-14T21:15:36,FR,EUR,klarna,0.00,10.00,placed,2026-03-15,C
O20260315-001094,C016130,2026-03-10T09:14:17,NL,EUR,gift_card,7.99,0.00,cancelled,2026-03-15,
O20260315-001095,C016987,2026-03-12T21:03:46,SE,SEK,card,7.99,0.00,paid,2026-03-15,B
O20260315-001096,C034439,2026-03-15T01:28:36,FR,EUR,klarna,0.00,10.00,paid,2026-03-15,
O20260315-001097,C008747,2026-03-15T08:40:48,SE,SEK,card,2.99,0.00,paid,2026-03-15,B
O20260315-001098,C019076,2026-03-10T03:31:21,DE,EUR,gift_card,0.00,10.00,cancelled,2026-03-15,legacy
O20260315-001099,C039805,2026-03-13T13:16:42,US,USD,card,4.99,5.00,placed,2026-03-15,
O20260315-001100,C014309,2026-03-10T06:27:25,DE,EUR,klarna,0.00,0.00,cancelled,2026-03-15,C
O20260315-001101,C039144,2026-03-15T10:57:27,SE,SEK,klarna,0.00,10.00,cancelled,2026-03-15,A
O20260315-001102,C024459,2026-03-10T15:35:10,US,USD,card,4.99,0.00,shipped,2026-03-15,legacy
O20260315-001103,C011684,2026-03-14T02:52:37,FR,EUR,card,0.00,5.00,paid,2026-03-15,A
O20260315-001104,C038201,2026-03-11T08:32:07,FR,EUR,klarna,0.00,5.00,placed,2026-03-15,C
O20260315-001105,C014182,2026-03-11T11:44:45,US,USD,gift_card,2.99,15.00,placed,2026-03-15,B
O20260315-001106,C011037,2026-03-12T10:09:00,SE,SEK,card,2.99,0.00,placed,2026-03-15,A
O20260315-001107,C019790,2026-03-15T04:03:39,NL,EUR,klarna,4.99,10.00,cancelled,2026-03-15,C
O20260315-001108,C033653,2026-03-11T12:25:23,FR,EUR,klarna,0.00,15.00,paid,2026-03-15,B
O20260315-001109,C012231,2026-03-11T03:15:42,NL,EUR,gift_card,7.99,5.00,cancelled,2026-03-15,legacy
O20260315-001110,C027286,2026-03-13T08:44:40,US,USD,card,4.99,0.00,paid,2026-03-15,C
