order_line_id,order_id,product_id,quantity,unit_price,line_discount_amount,line_ts
L20260316-0003157,O20260316-001226,P00082,1,141.76,3.00,2026-03-09T07:15:17
L20260316-0003158,O20260316-001226,P00090,1,34.54,1.50,2026-03-09T07:27:48
L20260316-0003159,O20260316-001226,P00078,2,203.66,0.00,2026-03-10T16:49:23
L20260316-0003160,O20260316-001227,P00108,1,188.64,0.00,2026-03-09T10:03:16
L20260316-0003161,O20260316-001227,P00001,3,124.15,0.00,2026-03-16T02:58:47
L20260316-0003162,O20260316-001228,P00067,1,109.86,5.00,2026-03-09T08:41:01
L20260316-0003163,O20260316-001229,P00022,3,70.70,0.00,2026-03-11T01:38:22
L20260316-0003164,O20260316-001229,P00062,3,71.15,0.00,2026-03-15T16:17:28
L20260316-0003165,O20260316-001229,P00094,1,184.89,3.00,2026-03-16T12:13:47
L20260316-0003166,O20260316-001230,P00037,1,162.77,3.00,2026-03-15T19:22:55
L20260316-0003167,O20260316-001230,P00035,1,122.53,3.00,2026-03-09T16:41:57
L20260316-0003168,O20260316-001231,P00066,3,10.75,0.00,2026-03-13T02:48:07
L20260316-0003169,O20260316-001232,P00086,1,41.51,3.00,2026-03-11T19:08:56
L20260316-0003170,O20260316-001232,P00071,1,129.32,0.00,2026-03-13T02:11:21
L20260316-0003171,O20260316-001233,P00063,2,96.72,0.00,2026-03-16T22:45:53
L20260316-0003172,O20260316-001233,P00028,3,263.53,1.50,2026-03-15T13:11:44
L20260316-0003173,O20260316-001233,P00059,1,6.15,1.50,2026-03-13T08:50:11
L20260316-0003174,O20260316-001233,P00064,2,62.69,0.00,2026-03-13T10:41:31
L20260316-0003175,O20260316-001234,P00090,2,34.54,1.50,2026-03-15T21:57:19
L20260316-0003176,O20260316-001234,P00093,1,184.63,0.00,2026-03-12T05:02:28
L20260316-0003177,O20260316-001235,P00115,2,138.97,1.50,2026-03-11T20:32:29
L20260316-0003178,O20260316-001235,P00009,3,17.27,5.00,2026-03-14T10:03:55
L20260316-0003179,O20260316-001236,P00073,1,35.38,1.50,2026-03-16T18:23:22
L20260316-0003180,O20260316-001236,P00089,3,221.76,3.00,2026-03-13T12:18:42
L20260316-0003181,O20260316-001236,P00101,1,276.64,3.00,2026-03-09T18:22:29
L20260316-0003182,O20260316-001237,P00029,3,87.92,0.00,2026-03-15T04:37:09
L20260316-0003183,O20260316-001237,P00011,1,51.47,1.50,2026-03-15T21:56:40
L20260316-0003184,O20260316-001238,P00031,1,37.45,0.00,2026-03-16T15:21:12
L20260316-0003185,O20260316-001239,P00098,1,27.94,0.00,2026-03-10T18:17:33
L20260316-0003186,O20260316-001239,P00107,1,155.56,0.00,2026-03-13T04:52:46
L20260316-0003187,O20260316-001239,P00017,1,188.62,0.00,2026-03-16T17:30:50
L20260316-0003188,O20260316-001240,P00068,1,207.20,3.00,2026-03-12T06:37:53
L20260316-0003189,O20260316-001240,P00107,1,155.56,0.00,2026-03-16T16:22:35
L20260316-0003190,O20260316-001241,P00067,1,109.86,3.00,2026-03-14T03:14:07
L20260316-0003191,O20260316-001241,P00055,3,102.20,0.00,2026-03-10T20:03:33
L20260316-0003192,O20260316-001241,P00001,3,124.15,5.00,2026-03-09T02:23:06
L20260316-0003193,O20260316-001241,P00080,1,72.41,0.00,2026-03-12T08:45:38
L20260316-0003194,O20260316-001242,P00070,1,82.95,0.00,2026-03-12T20:28:56
L20260316-0003195,O20260316-001242,P00095,1,130.25,5.00,2026-03-15T07:50:13
L20260316-0003196,O20260316-001243,P00008,1,137.16,5.00,2026-03-10T05:19:53
L20260316-0003197,O20260316-001243,P00047,1,98.50,1.50,2026-03-09T15:56:00
L20260316-0003198,O20260316-001243,P00002,1,112.31,0.00,2026-03-11T20:32:33
L20260316-0003199,O20260316-001243,P00017,1,188.62,1.50,2026-03-15T21:07:49
L20260316-0003200,O20260316-001244,P00086,3,41.51,0.00,2026-03-13T16:20:03
L20260316-0003201,O20260316-001245,P00094,3,184.89,1.50,2026-03-09T18:35:48
L20260316-0003202,O20260316-001245,P00022,1,70.70,5.00,2026-03-11T07:29:04
L20260316-0003203,O20260316-001246,P00055,1,102.20,0.00,2026-03-13T06:47:02
