order_id,customer_id,order_ts,country,currency,payment_method,source_file_date
O20260316-001226,C038614,2026-03-16T10:18:22,SE,SEK,card,2026-03-16
O20260316-001227,C036080,2026-03-14T09:02:20,SE,SEK,card,2026-03-16
O20260316-001228,C019035,2026-03-13T04:55:42,DE,EUR,gift_card,2026-03-16
O20260316-001229,C015355,2026-03-15T01:49:48,FR,EUR,gift_card,2026-03-16
O20260316-001230,C012764,2026-03-11T11:39:30,SE,SEK,klarna,2026-03-16
O20260316-001231,C033016,2026-03-15T23:45:07,DE,EUR,gift_card,2026-03-16
O20260316-001232,C032034,2026-03-11T10:40:30,FR,EUR,paypal,2026-03-16
O20260316-001233,C016224,2026-03-16T18:59:30,NL,EUR,gift_card,2026-03-16
O20260316-001234,C016205,2026-03-13T12:26:01,GB,GBP,gift_card,2026-03-16
O20260316-001235,C000730,2026-03-16T21:41:18,SE,SEK,klarna,2026-03-16
O20260316-001236,C009208,2026-03-12T12:10:39,GB,GBP,card,2026-03-16
O20260316-001237,C015160,2026-03-11T05:44:09,FR,EUR,gift_card,2026-03-16
O20260316-001238,C010377,2026-03-14T09:24:15,FR,EUR,card,2026-03-16
O20260316-001239,C005139,2026-03-11T11:27:31,GB,GBP,card,2026-03-16
O20260316-001240,C013324,2026-03-12T17:53:49,SE,SEK,gift_card,2026-03-16
O20260316-001241,C005935,2026-03-11T18:50:54,FR,EUR,gift_card,2026-03-16
O20260316-001242,C000469,2026-03-13T10:45:20,SE,SEK,paypal,2026-03-16
O20260316-001243,C025683,2026-03-14T19:40:30,GB,GBP,paypal,2026-03-16
O20260316-001244,C024312,2026-03-16T14:47:44,FR,EUR,card,2026-03-16
O20260316-001245,C026788,2026-03-12T13:28:11,US,USD,card,2026-03-16
O20260316-001246,C025437,2026-03-12T07:35:28,SE,SEK,card,2026-03-16
O20260316-001247,C014706,2026-03-13T18:56:52,SE,SEK,paypal,2026-03-16
O20260316-001248,C020328,2026-03-16T07:30:06,DE,EUR,gift_card,2026-03-16
O20260316-001249,C012598,2026-03-12T01:53:33,GB,GBP,klarna,2026-03-16
O20260316-001250,C017093,2026-03-11T16:13:55,FR,EUR,gift_card,2026-03-16
O20260316-001251,C013039,2026-03-12T12:27:21,DE,EUR,gift_card,2026-03-16
O20260316-001252,C024340,2026-03-14T18:22:28,NL,EUR,paypal,2026-03-16
O20260316-001253,C020871,2026-03-11T20:42:56,US,USD,gift_card,2026-03-16
O20260316-001254,C019246,2026-03-16T05:21:44,US,USD,card,2026-03-16
O20260316-001255,C034643,2026-03-13T04:13:21,SE,SEK,gift_card,2026-03-16
O20260316-001256,C009764,2026-03-16T16:01:09,GB,GBP,klarna,2026-03-16
O20260316-001257,C024239,2026-03-16T14:47:59,US,USD,klarna,2026-03-16
O20260316-001258,C000903,2026-03-12T21:07:27,NL,EUR,card,2026-03-16
O20260316-001259,C025062,2026-03-13T02:14:41,GB,GBP,klarna,2026-03-16
O20260316-001260,C023351,2026-03-16T01:02:55,GB,GBP,klarna,2026-03-16
O20260316-001261,C036290,2026-03-12T04:08:40,US,USD,gift_card,2026-03-16
O20260316-001262,C002434,2026-03-11T12:19:38,FR,EUR,klarna,2026-03-16
O20260316-001263,C022826,2026-03-11T22:54:57,GB,GBP,card,2026-03-16
O20260316-001264,C014257,2026-03-13T09:31:08,FR,EUR,paypal,2026-03-16
O20260316-001265,C006376,2026-03-13T01:33:46,FR,EUR,paypal,2026-03-16
O20260316-001266,C012058,2026-03-14T08:41:40,SE,SEK,gift_card,2026-03-16
O20260316-001267,C002663,2026-03-11T01:16:22,US,USD,paypal,2026-03-16
O20260316-001268,C027337,2026-03-13T20:10:53,FR,EUR,klarna,2026-03-16
O20260316-001269,C037707,2026-03-13T03:47:28,GB,GBP,card,2026-03-16
O20260316-001270,C000912,2026-03-12T16:07:56,NL,EUR,gift_card,2026-03-16
O20260316-001271,C014607,2026-03-16T07:54:40,US,USD,klarna,2026-03-16
O20260316-001272,C011838,2026-03-12T03:23:03,GB,GBP,card,2026-03-16
O20260316-001273,C026795,2026-03-13T04:23:28,SE,SEK,paypal,2026-03-16
O20260316-001274,C027637,2026-03-16T04:28:25,DE,EUR,gift_card,2026-03-16
O20260316-001275,C023243,2026-03-13T23:40:37,FR,EUR,klarna,2026-03-16
O20260316-001276,C036397,2026-03-16T20:36:41,US,USD,gift_card,2026-03-16
O20260316-001277,C014449,2026-03-16T10:49:31,GB,GBP,card,2026-03-16
O20260316-001278,C025078,2026-03-16T08:53:58,DE,EUR,klarna,2026-03-16
O20260316-001279,C002418,2026-03-14T08:49:06,SE,SEK,klarna,2026-03-16
O20260316-001280,C022611,2026-03-11T21:32:47,SE,SEK,paypal,2026-03-16
O20260316-001281,C024191,2026-03-14T02:42:43,GB,GBP,card,2026-03-16
O20260316-001282,C016666,2026-03-12T16:31:53,US,USD,gift_card,2026-03-16
O20260316-001283,C035887,2026-03-15T14:15:38,DE,EUR,gift_card,2026-03-16
O20260316-001284,C031145,2026-03-11T13:00:45,DE,EUR,gift_card,2026-03-16
O20260316-001285,C017140,2026-03-14T00:50:10,NL,EUR,gift_card,2026-03-16
O20260316-001286,C018509,2026-03-15T10:22:21,DE,EUR,gift_card,2026-03-16
O20260316-001287,C028197,2026-03-11T04:53:05,DE,EUR,paypal,2026-03-16
O20260316-001288,C004745,2026-03-16T18:42:22,SE,SEK,klarna,2026-03-16
O20260316-001289,C022235,2026-03-16T11:25:57,NL,EUR,card,2026-03-16
O20260316-001290,C000868,2026-03-13T05:30:04,GB,GBP,paypal,2026-03-16
O20260316-001291,C002138,2026-03-11T21:11:42,SE,SEK,paypal,2026-03-16
O20260316-001292,C016269,2026-03-15T13:30:10,GB,GBP,gift_card,2026-03-16
O20260316-001293,C008217,2026-03-13T14:58:46,NL,EUR,gift_card,2026-03-16
O20260316-001294,C022004,2026-03-12T16:55:07,FR,EUR,klarna,2026-03-16
O20260316-001295,C030003,2026-03-14T18:43:09,GB,GBP,klarna,2026-03-16
O20260316-001296,C004780,2026-03-15T13:31:22,DE,EUR,gift_card,2026-03-16
O20260316-001297,C017081,2026-03-11T19:56:00,FR,EUR,klarna,2026-03-16
O20260316-001298,C032860,2026-03-15T05:02:12,NL,EUR,card,2026-03-16
O20260316-001299,C031698,2026-03-13T19:00:21,US,USD,paypal,2026-03-16
O20260316-001300,C034997,2026-03-15T06:12:06,FR,EUR,klarna,2026-03-16
O20260316-001301,C026085,2026-03-13T08:34:52,US,USD,card,2026-03-16
O20260316-001302,C035242,2026-03-16T03:55:38,DE,EUR,paypal,2026-03-16
O20260316-001303,C023175,2026-03-14T21:57:15,US,USD,gift_card,2026-03-16
O20260316-001304,C017046,2026-03-16T10:37:51,DE,EUR,card,2026-03-16
O20260316-001305,C032776,2026-03-13T05:15:45,US,USD,gift_card,2026-03-16
O20260316-001306,C002483,2026-03-15T13:58:41,NL,EUR,paypal,2026-03-16
O20260316-001307,C039658,2026-03-15T04:59:59,FR,EUR,klarna,2026-03-16
O20260316-001308,C006508,2026-03-15T10:02:26,NL,EUR,paypal,2026-03-16
O20260316-001309,C002174,2026-03-16T10:55:30,SE,SEK,gift_card,2026-03-16
O20260316-001310,C034306,2026-03-16T01:36:39,GB,GBP,gift_card,2026-03-16
O20260316-001311,C025930,2026-03-13T11:03:34,FR,EUR,paypal,2026-03-16
O20260316-001312,C036514,2026-03-11T05:07:18,NL,EUR,card,2026-03-16
O20260316-001313,C003534,2026-03-12T21:29:05,DE,EUR,klarna,2026-03-16
O20260316-001314,C000657,2026-03-12T04:01:58,DE,EUR,card,2026-03-16
O20260316-001315,C002593,2026-03-13T00:40:11,NL,EUR,klarna,2026-03-16
O20260316-001316,C029419,2026-03-12T16:45:34,SE,SEK,paypal,2026-03-16
O20260316-001317,C014970,2026-03-12T03:56:21,NL,EUR,paypal,2026-03-16
O20260316-001318,C008860,2026-03-12T14:42:43,DE,EUR,paypal,2026-03-16
O20260316-001319,C019446,2026-03-12T21:54:43,US,USD,paypal,2026-03-16
O20260316-001320,C015383,2026-03-11T02:32:34,SE,SEK,gift_card,2026-03-16
O20260316-001321,C029788,2026-03-12T01:03:30,SE,SEK,paypal,2026-03-16
O20260316-001322,C026942,2026-03-12T16:15:30,NL,EUR,klarna,2026-03-16
