product_id,sku,product_name,product_type,cost_price,category,is_active,currency
P00025,SKU-00025,Product 25,beauty,53.72,shoes,true,GBP
P00061,SKU-00061,Product 61,beauty,87.30,skincare,false,EUR
P00105,SKU-00105,Product 105,beauty,116.53,skincare,false,EUR
P00034,SKU-00034,Product 34,beauty,76.11,kitchen,true,EUR
P00054,SKU-00054,Product 54,noos,113.05,skincare,true,EUR
P00003,SKU-00003,Product 3,noos,73.64,kitchen,false,GBP
P00021,SKU-00021,Product 21,beauty,54.54,tops,true,USD
P00009,SKU-00009,Product 9,noos,11.82,skincare,false,EUR
P00032,SKU-00032,Product 32,noos,59.05,tops,true,USD
P00056,SKU-00056,Product 56,noos,108.49,kitchen,true,USD
P00098,SKU-00098,Product 98,home,10.45,skincare,false,USD
P00070,SKU-00070,Product 70,noos,47.67,shoes,false,EUR
P00069,SKU-00069,Product 69,fashion,109.16,tops,false,USD
P00037,SKU-00037,Product 37,noos,62.44,accessories,true,EUR
P00010,SKU-00010,Product 10,home,68.38,tops,true,EUR
P00047,SKU-00047,Product 47,noos,58.34,shoes,true,USD
P00064,SKU-00064,Product 64,noos,48.12,kitchen,false,EUR
P00062,SKU-00062,Product 62,home,32.30,skincare,true,EUR
P00011,SKU-00011,Product 11,home,28.08,bottoms,false,USD
P00089,SKU-00089,Product 89,beauty,104.68,tops,false,EUR
P00018,SKU-00018,Product 18,home,5.77,accessories,true,USD
P00095,SKU-00095,Product 95,noos,67.81,tops,false,EUR
P00078,SKU-00078,Product 78,beauty,107.37,kitchen,true,GBP
P00113,SKU-00113,Product 113,beauty,66.81,accessories,true,GBP
P00068,SKU-00068,Product 68,beauty,81.42,kitchen,true,GBP
P00035,SKU-00035,Product 35,noos,86.94,accessories,true,EUR
P00023,SKU-00023,Product 23,fashion,103.65,skincare,false,USD
P00090,SKU-00090,Product 90,fashion,24.98,accessories,true,EUR
P00081,SKU-00081,Product 81,beauty,41.36,bottoms,true,EUR
P00083,SKU-00083,Product 83,beauty,31.50,kitchen,true,USD
P00048,SKU-00048,Product 48,home,26.00,accessories,true,EUR
